入る	いる|はいる|いれる	iru|hairu|ireru
九月	くがつ|ながつき	kugatsu|nagatsuki
見どころ	みどころ	midokoro
年下	としした	toshishita
村人	むらびと	murabito
正に	まさに	masani
力学	りきがく|りきがっ	rikigaku|rikigaxtu
車いす	くるまいす	kurumaisu
大さじ	おおさじ	oosaji
生き生き	いきいき	ikiiki
名づける	なづける	nadukeru
大して	たいして	taishite
女子大	じょしだい	joshidai
生ずる	しょうずる	shouzuru
先立つ	さきだつ	sakidatsu
天下り	あまくだり	amakudari
左上	ひだりうえ	hidariue
年月日	ねんがっぴ	nenngappi
夕べ	ゆうべ	yuube
名目	めいもく|みょうもく	meimoku|myoumoku
月日	つきひ|がっぴ	tsukihi|gappi
一口	ひとくち	hitokuchi
人名	じんめい	jinnmei
早くから	はやくから	hayakukara
人びと	ひとびと	hitobito
ほうれん草	ほうれんそう	hourennsou
日ごろ	ひごろ	higoro
大げさ	おおげさ	oogesa
右足	みぎあし	migiashi
左足	ひだりあし	hidariashi
手口	てぐち	teguchi
足音	あしおと	ashioto
一足	いっそく|ひとあし	issoku|hitoashi
生み	うみ|なまみ	umi|namami
雨天	うてん	utenn
町立	ちょうりつ	tyouritsu
人力	じんりき|じんりょく	jinnriki|jinnryoku
下水	げすい|したみず	gesui|shitamizu
校正	こうせい	kousei
手すり	てすり	tesuri
小中学校	しょうちゅうがっこう	shoutyuugakkou
小さめ	ちいさめ	chiisame
見やすい	みやすい	miyasui
日にち	ひにち	hinichi
山車	だし|だんじり|やまぐるま	dashi|dannjiri|yamaguruma
生年月日	せいねんがっぴ	seinenngappi
見出す	みいだす	miidasu
大いなる	おおいなる	ooinaru
見なす	みなす	minasu
十二月	じゅうにがつ	juunigatsu
王女	おうじょ|ひめみこ	oujo|himemiko
名山	めいざん	meizann
五つ	いつつ	itsutsu
車中	しゃちゅう	shatyuu
山林	さんりん	sannrinn
気さく	きさく	kisaku
立ち入り	たちいり	tachiiri
見下す	みくだす	mikudasu
左下	ひだりした	hidarishita
人目	ひとめ	hitome
名水	めいすい	meisui
生きがい	いきがい	ikigai
手がかり	てがかり	tegakari
目先	めさき	mesaki
生かせる	いかせる	ikaseru
あだ名	あだな	adana
見立て	みたて	mitate
八つ	やっつ|やつ	yattsu|yatsu
入ろう	にゅうろう|いろう|はいろう	nyuurou|irou|hairou
名字	みょうじ	myouji
十一月	じゅういちがつ	juuichigatsu
生れ	うまれ|なれ	umare|nare
見せつける	みせつける	misetsukeru
赤ワイン	あかわいん	akawainn
手ごろ	てごろ	tegoro
大まか	おおまか	oomaka
見入る	みいる	miiru
男らしい	おとこらしい	otokorashii
人手	ひとで	hitode
先手	せんて|さきて	sennte|sakite
お年	おとし	otoshi
お子さま	おこさま	okosama
下校	げこう	gekou
手ぬぐい	てぬぐい	tenugui
足下	あしもと|そっか	ashimoto|sokka
下りる	おりる	oriru
水虫	みずむし	mizumushi
七つ	ななつ	nanatsu
一休み	ひとやすみ	hitoyasumi
水気	みずけ|すいき	mizuke|suiki
出先	でさき	desaki
人出	ひとで	hitode
お手本	おてほん	otehonn
出だし	でだし|いだし	dedashi|idashi
出くわす	でくわす	dekuwasu
手先	てさき	tesaki
小中学生	しょうちゅうがくせい	shoutyuugakusei
五十音	ごじゅうおん	gojuuonn
お年玉	おとしだま	otoshidama
気まずい	きまずい	kimazui
四天王	してんのう	shitennnou
ぶら下がる	ぶらさがる	burasagaru
正気	しょうき|せいき	shouki|seiki
見せかけ	みせかけ	misekake
生ける	いける	ikeru
はみ出す	はみだす	hamidasu
サラ金	さらきん	sarakinn
小さじ	こさじ	kosaji
見いだす	みいだす	miidasu
生い立ち	おいたち	oitachi
お気づき	おきづき	okiduki
見とれる	みとれる	mitoreru
生きもの	いきもの	ikimono
小ぶり	こぶり	koburi
空しい	むなしい	munashii
雨上がり	あめあがり	ameagari
天文学	てんもんがく	tennmonngaku
口ずさむ	くちずさむ	kuchizusamu
手本	てほん|でほん	tehonn|dehonn
目下	めした|もっか	meshita|mokka
白っぽい	しろっぽい	shiroppoi
つま先	つまさき	tsumasaki
わが子	わがこ	wagako
お立ち	おたち	otachi
見つけ出す	みつけだす	mitsukedasu
日日	ひにち|ひび|にちにち	hinichi|hibi|nichinichi
日に日に	ひにひに	hinihini
むき出し	むきだし	mukidashi
火花	ひばな	hibana
水力	すいりょく	suiryoku
出し入れ	だしいれ	dashiire
