検索	けんさく	kennsaku
購入	こうにゅう	kounyuu
一緒	いっしょ	issho
戻る	もどる	modoru
監督	かんとく	kanntoku
雰囲気	ふんいき	funniki
釣り	つり|づり	tsuri|duri
患者	かんじゃ	kannja
金融	きんゆう	kinnyuu
充実	じゅうじつ	juujitsu
風呂	ふろ|ぶろ	furo|buro
分析	ぶんせき	bunnseki
馬鹿	ばか	baka
診療	しんりょう	shinnryou
挑戦	ちょうせん	chousenn
症状	しょうじょう	shoujou
診断	しんだん	shinndann
嫌い	きらい|ぎらい	kirai|girai
挨拶	あいさつ	aisatsu
実践	じっせん	jissenn
凄い	すごい	sugoi
眺め	ながめ	nagame
余裕	よゆう	yoyuu
無駄	むだ	muda
合併	がっぺい	gappei
丁寧	ていねい	teinei
唯一	ゆいいつ|ゆいつ	yuiitsu|yuitsu
栽培	さいばい	saibai
化粧	けしょう|げしょう	keshou|geshou
弊社	へいしゃ	heisha
廃止	はいし	haishi
解析	かいせき	kaiseki
貢献	こうけん	koukenn
駄目	だめ	dame
癒し	いやし	iyashi
購読	こうどく	koudoku
履歴	りれき	rireki
戻り	もどり	modori
妊娠	にんしん	ninnshinn
宜しく	よろしく	yoroshiku
焼酎	しょうちゅう|じょうちゅう	shouchuu|jouchuu
頑張り	がんばり	gannbari
交渉	こうしょう	koushou
洗濯	せんたく	senntaku
徹底	てってい	tettei
旦那	だんな	dannna
貼り	はり|ばり	hari|bari
銘柄	めいがら	meigara
矯正	きょうせい	kyousei
把握	はあく	haaku
妄想	もうそう|もうぞう	mousou|mouzou
必須	ひっす|ひっしゅ	hissu|hisshu
疾患	しっかん	shikkann
捜査	そうさ	sousa
臭い	におい|くさい	nioi|kusai
狙い	ねらい	nerai
懐かしい	なつかしい	natsukashii
一括	いっかつ	ikkatsu
充分	じゅうぶん	juubunn
搭載	とうさい	tousai
生涯	しょうがい	shougai
廃棄	はいき	haiki
堪能	たんのう|かんのう	tannnou|kannnou
匂い	におい	nioi
訴訟	そしょう	soshou
披露	ひろう	hirou
拒否	きょひ	kyohi
諦め	あきらめ	akirame
詐欺	さぎ	sagi
報酬	ほうしゅう	houshuu
循環	じゅんかん	junnkann
山梨	やまなし|やまなし	yamanashi|yamanashi
繊維	せんい	senni
椅子	いす	isu
推薦	すいせん	suisenn
完璧	かんぺき	kannpeki
探偵	たんてい	tanntei
稽古	けいこ|げいこ	keiko|geiko
睡眠	すいみん	suiminn
憧れ	あこがれ|あくがれ	akogare|akugare
麻生	おふ	ofu
賠償	ばいしょう	baishou
但し	ただし	tadashi
漬け	つけ|づけ	tsuke|duke
渋滞	じゅうたい	juutai
融資	ゆうし	yuushi
官僚	かんりょう	kannryou
補償	ほしょう	hoshou
同僚	どうりょう	douryou
酷い	ひどい|むごい	hidoi|mugoi
文献	ぶんけん	bunnkenn
