綺麗	きれい|ぎれい	kirei|girei
撓る	しわる|しなる	shiwaru|shinaru
廻せる	まわせる	mawaseru
見廻る	みまわる|みめぐる	mimawaru|mimeguru
掻い潜る	かいくぐる|かいもぐる	kaikuguru|kaimoguru
当て嵌める	あてはめる	atehameru
掻き乱す	かきみだす	kakimidasu
眇める	すがめる	sugameru
咲き揃う	さきそろう	sakisorou
板葺き	いたぶき	itabuki
木洩れ日	こもれび	komorebi
呷る	あおる	aoru
濡れそぼつ	ぬれそぼつ	nuresobotsu
顔馴染み	かおなじみ	kaonajimi
取り揃える	とりそろえる	torisoroeru
冴えわたる	さえわたる	saewataru
學ぶ	まなぶ	manabu
錆びつく	さびつく	sabitsuku
搦める	からめる	karameru
抓る	つねる|つめる	tsuneru|tsumeru
祓い清める	はらいきよめる	haraikiyomeru
稔り	みのり	minori
捩り	もじり|すじり|ねじり|よじり	mojiri|sujiri|nejiri|yojiri
籾摺り	もみすり	momisuri
咳く	せく|しわぶく	seku|shiwabuku
日溜まり	ひだまり	hidamari
祓え	はらえ|ばらえ	harae|barae
腹這い	はらばい	harabai
厭き	あき	aki
篭める	こめる	komeru
栗まんじゅう	くりまんじゅう	kurimannjuu
嬉し泣き	うれしなき	ureshinaki
煉る	ねる	neru
紅蓮の炎	ぐれんのほのお	gurennnohonoo
鬨の声	ときのこえ	tokinokoe
弛める	ゆるめる|たるめる	yurumeru|tarumeru
熔ける	とける	tokeru
和綴じ	わとじ	watoji
引き篭る	ひきこもる	hikikomoru
お陀仏	おだぶつ	odabutsu
鋤く	すく	suku
梳かす	とかす	tokasu
蕎麦切り	そばきり	sobakiri
嵌め込み	はめこみ	hamekomi
子供騙し	こどもだまし	kodomodamashi
捩じる	ねじる	nejiru
涙脆い	なみだもろい	namidamoroi
咳込む	せきこむ	sekikomu
簀巻き	すまき	sumaki
啄む	ついばむ	tsuibamu
組み紐	くみひも	kumihimo
曰く付き	いわくつき	iwakutsuki
踏み躙る	ふみにじる	fuminijiru
濡れ縁	ぬれえん	nureenn
弘める	ひろめる|びろめる	hiromeru|biromeru
豆撒き	まめまき	mamemaki
立ち竦む	たちすくむ	tachisukumu
鞣す	なめす	namesu
萌え出る	もえでる	moederu
刳る	くる|ぐる|えぐる	kuru|guru|eguru
待ち侘びる	まちわびる	machiwabiru
磯臭い	いそくさい	isokusai
血腥い	ちなまぐさい	chinamagusai
粒揃い	つぶぞろい	tsubuzoroi
鸚鵡返し	おうむがえし	oumugaeshi
廻らす	めぐらす	megurasu
漉し餡	こしあん	koshiann
誅する	ちゅうする	tyuusuru
嘶く	いななく	inanaku
お櫃	おひつ	ohitsu
黴臭い	かびくさい	kabikusai
鍔迫り合い	つばぜりあい	tsubazeriai
最後っ屁	さいごっぺ	saigoppe
擧げる	あげる	ageru
誹る	そしる	soshiru
お蔭さま	おかげさま	okagesama
火炙り	ひあぶり	hiaburi
穢らわしい	けがらわしい	kegarawashii
賎しい	いやしい	iyashii
茹だる	うだる|ゆだる	udaru|yudaru
蒔ける	まける	makeru
臍の緒	へそのお|ほぞのお	hesonoo|hozonoo
毅然たる	きぜんたる	kizenntaru
誑かす	たぶらかす	taburakasu
掴み取り	つかみどり|つかみとり	tsukamidori|tsukamitori
賽の目	さいのめ	sainome
辿れる	たどれる	tadoreru
樺の木	かばのき	kabanoki
勿体ぶる	もったいぶる	mottaiburu
呆れかえる	あきれかえる	akirekaeru
逢魔が時	おうまがとき	oumagatoki
嗜める	たしなめる	tashinameru
魘される	うなされる	unasareru
丑の刻参り	うしのときまいり	ushinotokimairi
疳の虫	かんのむし	kannnomushi
烏滸がましい	おこがましい	okogamashii
厭わしい	いとわしい	itowashii
錆付く	さびつく	sabitsuku
轟かす	とどろかす	todorokasu
誦する	しょうする|じゅする	shousuru|jusuru
擽ったい	くすぐったい	kusuguttai
皺寄せ	しわよせ	shiwayose
釜茹で	かまゆで	kamayude
吊り革	つりかわ	tsurikawa
憚り	はばかり	habakari
馨しい	かぐわしい	kaguwashii
縒り	より	yori
打出の小槌	うちでのこづち	uchidenokoduchi
鞘取り	さやとり	sayatori
暈し	ぼかし	bokashi
壷焼き	つぼやき	tsuboyaki
悴む	かじかむ	kajikamu
腑甲斐無い	ふがいない	fugainai
口喧しい	くちやかましい	kuchiyakamashii
掴み所	つかみどころ	tsukamidokoro
擡げる	もたげる	motageru
おが屑	おがくず	ogakuzu
馨る	かおる	kaoru
睨みあう	にらみあう	niramiau
凛凛しい	りりしい	ririshii
掻き込む	かきこむ	kakikomu
粟立つ	あわだつ	awadatsu
吊り上がる	つりあがる	tsuriagaru
釘抜き	くぎぬき	kuginuki
売り捌く	うりさばく	urisabaku
掻ける	かける	kakeru
胡散い	うさんい	usanni
焚ける	たける	takeru
阿る	おもねる	omoneru
蕾む	つぼむ	tsubomu
雁字搦め	がんじがらめ	gannjigarame
お伽草子	おとぎぞうし	otogizoushi
掻い摘む	かいつまむ	kaitsumamu
嵩じる	こうじる	koujiru
噛み合せる	かみあわせる	kamiawaseru
諂う	へつらう|へつろう	hetsurau|hetsurou
按ずる	あんずる	annzuru
煽て	おだて	odate
孵す	かえす	kaesu
溜り場	たまりば	tamariba
人馴れ	ひとなれ	hitonare
上がり框	あがりかまち|あがりがまち	agarikamachi|agarigamachi
爺むさい	じじむさい	jijimusai
繙く	ひもとく	himotoku
槍投げ	やりなげ	yarinage
瑞瑞しい	みずみずしい	mizumizushii
焙じる	ほうじる	houjiru
咬める	かめる	kameru
物淋しい	ものさびしい	monosabishii
紐解ける	ひもとける	himotokeru
棹さす	さおさす	saosasu
隈取り	くまどり	kumadori
忝ない	かたじけない	katajikenai
撫で付ける	なでつける	nadetsukeru
窄まる	すぼまる|つぼまる	subomaru|tsubomaru
もの淋しい	ものさびしい	monosabishii
托す	たくす	takusu
囂しい	かまびすしい	kamabisushii
婀娜っぽい	あだっぽい	adappoi
洒落臭い	しゃらくさい	sharakusai
一の酉	いちのとり	ichinotori
漕ぎつける	こぎつける	kogitsukeru
尖らす	とがらす	togarasu
下拵え	したごしらえ	shitagoshirae
稔る	みのる	minoru
吝い	しわい	shiwai
腥い	なまぐさい	namagusai
繋る	かかる|つながる	kakaru|tsunagaru
挾む	はさむ	hasamu
掠り	かすり	kasuri
日溜り	ひだまり	hidamari
呑み込める	のみこめる	nomikomeru
掴みどころ	つかみどころ	tsukamidokoro
ちょび髭	ちょびひげ	tyobihige
葵祭り	あおいまつり	aoimatsuri
拗る	ねじる|こじれる|すねる|ねじける	nejiru|kojireru|suneru|nejikeru
双頭の鷲	そうとうのわし	soutounowashi
捲し立てる	まくしたてる	makushitateru
狡っ辛い	こすっからい	kosukkarai
月の桂	つきのかつら	tsukinokatsura
穢らしい	きたならしい	kitanarashii
弛い	たゆい	tayui
馴れなれしい	なれなれしい	narenareshii
うら淋しい	うらさびしい	urasabishii
俯せる	うつぶせる	utsubuseru
吊るせる	つるせる	tsuruseru
山篭り	やまごもり	yamagomori
引っ掴む	ひっつかむ	hittsukamu
與える	あたえる	ataeru
掻き鳴らす	かきならす	kakinarasu
腑分け	ふわけ	fuwake
綯う	なう|のう	nau|nou
吊れる	つれる	tsureru
泣き濡れる	なきぬれる	nakinureru
狸寝入り	たぬきねいり	tanukineiri
脹らむ	ふくらむ	fukuramu
懶い	ものうい	monoui
寝穢い	いぎたない	igitanai
二の酉	にのとり	ninotori
諳んじる	そらんじる	sorannjiru
毫も	ごうも	goumo
洽い	あまねい	amanei
言い淀む	いいよどむ	iiyodomu
遽しい	あわただしい	awatadashii
傳える	つたえる	tsutaeru
詫びしい	わびしい	wabishii
疳高い	かんだかい	kanndakai
狡っからい	こすっからい	kosukkarai
鏤める	ちりばめる	chiribameru
耀かしい	かがやかしい	kagayakashii
粕取り	かすとり	kasutori
聰い	さとい	satoi
懈い	たゆい|だるい|だりい	tayui|darui|darii
吝か	やぶさか	yabusaka
廻れる	まわれる|めぐれる	mawareru|megureru
猥りがわしい	みだりがわしい	midarigawashii
賑にぎしい	にぎにぎしい	niginigishii
勿体らしい	もったいらしい	mottairashii
佩く	はく	haku
狡辛い	こすっからい|こすからい	kosukkarai|kosukarai
馴なれしい	なれなれしい	narenareshii
穢れる	けがれる	kegareru
劈く	つんざく	tsunnzaku
辿たどしい	たどたどしい	tadotadoshii
腹穢い	はらぎたない	haragitanai
賑賑しい	にぎにぎしい	niginigishii
枉枉しい	まがまがしい	magamagashii
袈裟斬り	けさぎり	kesagiri
鯉こく	こいこく	koikoku
狐憑き	きつねつき	kitsunetsuki
袈裟懸け	けさがけ	kesagake
耳聰い	みみざとい	mimizatoi
忽ちに	たちまちに	tachimachini
身篭る	みごもる	migomoru
祟り目	たたりめ	tatarime
水捌け	みずはけ	mizuhake
此の方	このかた|このほう	konokata|konohou
吃り	どもり	domori
湯飲み茶碗	ゆのみぢゃわん	yunomidyawann
撫でつける	なでつける	nadetsukeru
碾く	ひく|びく	hiku|biku
夙に	つとに	tsutoni
脹れる	ふくれる|ぶくれる	fukureru|bukureru
悖る	もとる	motoru
胃の腑	いのふ	inofu
佇つ	たつ|だつ	tatsu|datsu
犇めく	ひしめく	hishimeku
人攫い	ひとさらい	hitosarai
三の酉	さんのとり	sannnotori
悪足掻き	わるあがき	waruagaki
吃る	どもる	domoru
啜り泣く	すすりなく	susurinaku
此の度	このたび	konotabi
鍬入れ	くわいれ	kuwaire
お萩	おはぎ	ohagi
働き蟻	はたらきあり	hatarakiari
貰い泣き	もらいなき	morainaki
直播き	じかまき|じきまき	jikamaki|jikimaki
攀じ登る	よじのぼる	yojinoboru
賣る	うる	uru
炒り豆	いりまめ	irimame
ばら蒔く	ばらまく	baramaku
蟠り	わだかまり	wadakamari
撥ねる	はねる|ぱねる	haneru|paneru
思う壷	おもうつぼ	omoutsubo
汲み取れる	くみとれる	kumitoreru
絆される	ほだされる	hodasareru
一纏め	ひとまとめ	hitomatome
拱く	こまぬく|こまねく	komanuku|komaneku
剃り落とす	そりおとす	soriotosu
矧ぐ	はぐ	hagu
吊し上げ	つるしあげ	tsurushiage
抛る	ほうる	houru
餅搗き	もちつき	mochitsuki
噎せる	むせる	museru
四つ辻	よつつじ	yotsutsuji
足手纏い	あしてまとい	ashitematoi
俯ける	うつむける	utsumukeru
見蕩れる	みとれる	mitoreru
溜めこむ	ためこむ	tamekomu
出涸らし	でがらし	degarashi
天翔る	あまがける|あまかける	amagakeru|amakakeru
揉み手	もみで	momide
齧り付く	かじりつく|かぶりつく	kajiritsuku|kaburitsuku
穢す	けがす	kegasu
合い挽き	あいびき	aibiki
水掻き	みずかき	mizukaki
