綺麗	きれい|ぎれい	kirei|girei
舐める	なめる	nameru
馴染み	なじみ	najimi
逢う	あう|おう	au|ou
曰く	いわく	iwaku
煽る	あおる|あふる|あうる	aoru|afuru|auru
晒し	さらし|ざらし	sarashi|zarashi
頷く	うなずく	unazuku
惚れる	ほれる|ぼれる|とれる	horeru|boreru|toreru
儲かる	もうかる	moukaru
お詫び	おわび	owabi
遥か	はるか	haruka
お洒落	おしゃれ	oshare
繋がり	つながり	tsunagari
茹でる	ゆでる|うでる	yuderu|uderu
煽り	あおり|あふり|あうり	aori|afuri|auri
覗き	のぞき	nozoki
繋ぐ	つなぐ	tsunagu
或いは	あるいは|あるいわ	aruiha|aruiwa
於く	おく	oku
貰い	もらい	morai
呆れる	あきれる	akireru
吊る	つる|づる	tsuru|duru
撫でる	なでる	naderu
撒く	まく	maku
儲け	もうけ	mouke
揃い	そろい|ぞろい	soroi|zoroi
訊く	きく	kiku
祀る	まつる	matsuru
取り揃う	とりそろう	torisorou
晒す	さらす|ざらす	sarasu|zarasu
賑やか	にぎやか	nigiyaka
捧ぐ	ささぐ	sasagu
廻り	まわり|めぐり	mawari|meguri
賑わう	にぎわう	nigiwau
出逢う	であう|でおう	deau|deou
這う	はう|ばう|ほう	hau|bau|hou
蘇る	よみがえる	yomigaeru
揉む	もむ	momu
歪む	いがむ|ひずむ|ゆがむ	igamu|hizumu|yugamu
喰らう	くらう	kurau
歪み	ゆがみ|ひずみ|いがみ	yugami|hizumi|igami
吠える	ほえる|ぼえる	hoeru|boeru
淋しい	さびしい|さみしい	sabishii|samishii
廻る	まわる|めぐる	mawaru|meguru
貰える	もらえる	moraeru
賑わい	にぎわい	nigiwai
漕ぐ	こぐ	kogu
溜める	ためる	tameru
焚く	たく	taku
ご馳走	ごちそう	gochisou
佇む	たたずむ	tatazumu
掻く	かく|がく	kaku|gaku
繋げる	つなげる	tsunageru
汲む	くむ	kumu
睨む	にらむ	niramu
爺さん	じいさん	jiisann
怯える	おびえる	obieru
剃る	する|そる|ぞる	suru|soru|zoru
囁く	ささやく	sasayaku
偲ぶ	しのぶ	shinobu
馴染む	なじむ	najimu
挽く	ひく|びく	hiku|biku
謳う	うたう|うとう	utau|utou
馳せる	はせる|ばせる	haseru|baseru
蒔く	まく	maku
棲む	すむ	sumu
甦る	よみがえる	yomigaeru
綴り	つづり	tsuduri
捧げる	ささげる	sasageru
纏う	まとう	matou
眩しい	まぶしい	mabushii
姐さん	ねえさん	neesann
蒼い	あおい	aoi
冴え	さえ	sae
繋ぎ	つなぎ	tsunagi
金儲け	かねもうけ	kanemouke
痒い	かゆい	kayui
尖る	とがる|とんがる	togaru|tonngaru
錆びる	さびる	sabiru
唸る	うなる	unaru
纏める	まとめる	matomeru
炙る	あぶる	aburu
嘘つき	うそつき	usotsuki
濡らす	ぬらす	nurasu
儲ける	もうける	moukeru
喘ぐ	あえぐ	aegu
窺う	うかがう|うかごう	ukagau|ukagou
痺れ	しびれ|しびれれ	shibire|shibirere
掴める	つかめる	tsukameru
揃える	そろえる|ぞろえる	soroeru|zoroeru
叩きつける	たたきつける	tatakitsukeru
叶える	かなえる	kanaeru
凛と	りんと	rinnto
俯く	うつむく	utsumuku
馴れ合う	なれあう|なれおう	nareau|nareou
佇まい	たたずまい	tatazumai
叩き込む	たたきこむ|はたきこむ	tatakikomu|hatakikomu
或は	あるいは|あるいわ	aruiha|aruiwa
霞む	かすむ	kasumu
噛み合う	かみあう|かみおう	kamiau|kamiou
穿く	はく|ばく	haku|baku
鵜呑み	うのみ	unomi
逞しい	たくましい	takumashii
捲る	めくる|まくる	mekuru|makuru
噛み付く	かみつく	kamitsuku
釘付け	くぎづけ	kugiduke
鯉のぼり	こいのぼり	koinobori
勢揃い	せいぞろい	seizoroi
勿体ない	もったいない	mottainai
亘る	わたる	wataru
禿げる	はげる	hageru
祟る	たたる	tataru
滲む	にじむ	nijimu
曳く	ひく	hiku
凌ぐ	しのぐ	shinogu
胡散臭い	うさんくさい	usannkusai
媚びる	こびる	kobiru
貶める	おとしめる	otoshimeru
庇う	かばう|かぼう	kabau|kabou
訊ねる	たずねる	tazuneru
嵌る	はまる	hamaru
歪める	ゆがめる	yugameru
吊り上げる	つりあげる	tsuriageru
揉める	もめる	momeru
儚い	はかない	hakanai
滲みる	しみる	shimiru
お喋り	おしゃべり	oshaberi
吊るす	つるす	tsurusu
焚き火	たきび	takibi
尤も	もっとも	mottomo
孕む	はらむ|ばらむ	haramu|baramu
廻し	まわし	mawashi
轢く	ひく|びく	hiku|biku
讃える	たたえる	tataeru
囁き	ささやき	sasayaki
濡れる	ぬれる	nureru
お雛様	おひなさま	ohinasama
悶える	もだえる	modaeru
叩ける	はたける|たたける	hatakeru|tatakeru
お釈迦様	おしゃかさま	oshakasama
躊躇う	ためらう|ためろう	tamerau|tamerou
咬む	かむ	kamu
茶碗蒸し	ちゃわんむし	tyawannmushi
睨みつける	にらみつける	niramitsukeru
篭る	こもる|こめる|ごもる	komoru|komeru|gomoru
沁みる	しみる	shimiru
祀り	まつり	matsuri
瞑る	つぶる|つむる	tsuburu|tsumuru
憑かれる	つかれる	tsukareru
溜め息	ためいき	tameiki
葺く	ふく|ぶく	fuku|buku
炒る	いる	iru
咎め	とがめ	togame
呆然と	ぼうぜんと	bouzennto
奢る	おごる	ogoru
呻く	うめく	umeku
睨み	にらみ	nirami
眩い	まばゆい|まぶしい|くるめい	mabayui|mabushii|kurumei
馴れる	なれる	nareru
閃く	ひらめく	hirameku
摺り	すり|ずり	suri|zuri
脆い	もろい	moroi
噛み締める	かみしめる	kamishimeru
篭もる	こもる|ごもる	komoru|gomoru
穢れ	けがれ|けがれれ	kegare|kegarere
溜め込む	ためこむ	tamekomu
遠吠え	とおぼえ	tooboe
溜り	たまり|だまり	tamari|damari
唸り	うなり	unari
吼える	ほえる	hoeru
聳える	そびえる	sobieru
綴じ	とじ|ていじ	toji|teiji
煤ける	すすける	susukeru
汲み取る	くみとる	kumitoru
謂う	いう|ゆう	iu|yuu
逢える	あえる	aeru
罹る	かかる	kakaru
吊り橋	つりばし	tsuribashi
