綺麗	きれい|ぎれい	kirei|girei
贅沢	ぜいたく	zeitaku
餃子	ぎょーざ	gyo-za
炒め	いため	itame
薔薇	ばら|いばら|しょうび|そうび	bara|ibara|shoubi|soubi
曰く	いわく	iwaku
誹謗	ひぼう	hibou
お洒落	おしゃれ	oshare
鍼灸	しんきゅう	shinnkyuu
麻痺	まひ	mahi
珈琲	こーひー	ko-hi-
捏造	ねつぞう|でつぞう	netsuzou|detsuzou
急遽	きゅうきょ	kyuukyo
巫女	みこ|ふじょ	miko|fujo
牡蠣	かき|がき	kaki|gaki
生姜	しょうが	shouga
肛門	こうもん	koumonn
躊躇	ちゅうちょ	chuucho
喘息	ぜんそく|ずだ	zennsoku|zuda
驚愕	きょうがく	kyougaku
饅頭	まんじゅう	mannjuu
排泄	はいせつ	haisetsu
嗜好	しこう	shikou
瞑想	めいそう	meisou
騙し	だまし	damashi
炸裂	さくれつ	sakuretsu
蜘蛛	くも|ぐも	kumo|gumo
洒落	しゃれ|じゃれ|しゃらく	share|jare|sharaku
呟く	つぶやく	tsubuyaku
遙か	はるか	haruka
終焉	しゅうえん	shuuenn
嘔吐	おうと	outo
剪定	せんてい	senntei
車輌	しゃりょう	sharyou
呟き	つぶやき	tsubuyaki
対峙	たいじ	taiji
膀胱	ぼうこう	boukou
囃子	はやし|ばやし	hayashi|bayashi
廃墟	はいきょ	haikyo
執拗	しつよう	shitsuyou
屏風	びょうぶ	byoubu
嗚呼	ああ	aa
胡椒	こしょう	koshou
冤罪	えんざい	ennzai
佇む	たたずむ	tatazumu
濾過	ろか	roka
徘徊	はいかい	haikai
頷く	うなずく	unazuku
琥珀	こはく	kohaku
焙煎	ばいせん	baisenn
愛嬌	あいきょう	aikyou
絨毯	じゅうたん	juutann
彗星	すいせい	suisei
彷彿	ほうふつ	houfutsu
翡翠	かわせみ|ひすい	kawasemi|hisui
痙攣	けいれん	keirenn
贔屓	ひいき|びいき	hiiki|biiki
山椒	さんしょう|ざんしょう	sannshou|zannshou
彷徨	ほうこう	houkou
瑕疵	かし	kashi
祭祀	さいし	saishi
信憑	しんぴょう	shinnpyou
痺れ	しびれ	shibire
範疇	はんちゅう	hannchuu
愕然	がくぜん	gakuzenn
城址	じょうし	joushi
渾身	こんしん	konnshinn
凛と	りんと	rinnto
飛翔	ひしょう	hishou
一揆	いっき	ikki
炒める	いためる	itameru
佇まい	たたずまい	tatazumai
揉み	もみ	momi
乖離	かいり	kairi
眩しい	まぶしい	mabushii
祀る	まつる	matsuru
揶揄	やゆ	yayu
羊羹	ようかん	youkann
末裔	まつえい|ばつえい	matsuei|batsuei
孵化	ふか	fuka
殺戮	さつりく	satsuriku
殲滅	せんめつ	sennmetsu
甲冑	かっちゅう	kacchuu
麒麟	きりん	kirinn
鳳凰	ほうおう	houou
黎明	れいめい	reimei
顆粒	かりゅう	karyuu
筐体	きょうたい	kyoutai
炒め物	いためもの	itamemono
疼痛	とうつう	toutsuu
邁進	まいしん	maishinn
燻製	くんせい	kunnsei
研鑽	けんさん	kennsann
隕石	いんせき	innseki
涅槃	ねはん	nehann
招聘	しょうへい	shouhei
滲み	しみ|にじみ	shimi|nijimi
華奢	かしゃ|きゃしゃ	kasha|kyasha
真鍮	しんちゅう	shinnchuu
標榜	ひょうぼう	hyoubou
俯瞰	ふかん	fukann
欺瞞	ぎまん	gimann
頷き	うなずき	unazuki
舐める	なめる	nameru
囁き	ささやき	sasayaki
颯爽	さっそう	sassou
椰子	やし	yashi
咄嗟	とっさ	tossa
懺悔	ざんげ	zannge
動悸	どうき	douki
絢爛	けんらん	kennrann
詭弁	きべん	kibenn
合祀	ごうし	goushi
浣腸	かんちょう	kannchou
拮抗	きっこう	kikkou
祀り	まつり	matsuri
不憫	ふびん	fubinn
罹患	りかん	rikann
恫喝	どうかつ	doukatsu
攘夷	じょうい	joui
喘ぎ	あえぎ	aegi
咎め	とがめ	togame
揉め	もめ	mome
甦る	よみがえる	yomigaeru
怪訝	けげん	kegenn
睨み	にらみ	nirami
憑依	ひょうい	hyoui
痒い	かゆい	kayui
傀儡	かいらい|くぐつ	kairai|kugutsu
熾烈	しれつ	shiretsu
釉薬	ゆうやく|うわぐすり	yuuyaku|uwagusuri
叱咤	しった	shitta
囁く	ささやく	sasayaku
撥水	はっすい	hassui
嚥下	えんげ|えんか	ennge|ennka
攪拌	かくはん|こうはん	kakuhann|kouhann
曼荼羅	まんだら	manndara
穢れ	けがれ	kegare
咆哮	ほうこう	houkou
卑猥	ひわい	hiwai
蹂躙	じゅうりん	juurinn
瓦礫	がれき	gareki
飢饉	ききん	kikinn
唸り	うなり	unari
熨斗	のし	noshi
辟易	へきえき	hekieki
賽銭	さいせん	saisenn
謳歌	おうか	ouka
膵臓	すいぞう	suizou
生贄	いけにえ	ikenie
隧道	すいどう|ずいどう	suidou|zuidou
炬燵	こたつ|ごたつ	kotatsu|gotatsu
明媚	めいび	meibi
咬合	こうごう	kougou
信憑性	しんぴょうせい	shinnpyousei
爬虫類	はちゅうるい	hachuurui
屁理屈	へりくつ	herikutsu
花崗岩	かこうがん	kakougann
