検索	けんさく	kennsaku
水槽	すいそう	suisou
褒め	ほめ|ぼめ	home|bome
一斉	いっせい	issei
挿入	そうにゅう	sounyuu
充電	じゅうでん	juudenn
柔軟	じゅうなん	juunann
傑作	けっさく	kessaku
併用	へいよう	heiyou
機嫌	きげん	kigenn
昆虫	こんちゅう	konnchuu
庶民	しょみん	shominn
発症	はっしょう	hasshou
稼ぎ	かせぎ	kasegi
昆布	こぶ|こんぶ	kobu|konnbu
還元	かんげん	kanngenn
別荘	べっそう	bessou
妥当	だとう	datou
稼ぐ	かせぐ	kasegu
繊細	せんさい	sennsai
素朴	そぼく	soboku
頻度	ひんど	hinndo
磨き	みがき	migaki
偏差	へんさ	hennsa
無償	むしょう	mushou
媒体	ばいたい	baitai
眺める	ながめる	nagameru
逸品	いっぴん	ippinn
撤去	てっきょ	tekkyo
抹茶	まっちゃ	maccha
探索	たんさく	tannsaku
麻酔	ますい	masui
釣果	ちょうか	chouka
浄化	じょうか	jouka
症例	しょうれい	shourei
細菌	さいきん	saikinn
薦め	すすめ	susume
忍者	にんじゃ	ninnja
艦隊	かんたい	kanntai
渓谷	けいこく	keikoku
石垣	いしがき|いしがけ	ishigaki|ishigake
涼しい	すずしい	suzushii
船舶	せんぱく	sennpaku
懇談	こんだん	konndann
偽装	ぎそう	gisou
砂漠	さばく	sabaku
眺望	ちょうぼう	choubou
肯定	こうてい	koutei
懐かし	なつかし	natsukashi
帰還	きかん	kikann
不倫	ふりん	furinn
網羅	もうら	moura
附属	ふぞく	fuzoku
洪水	こうずい	kouzui
紳士	しんし	shinnshi
不妊	ふにん	funinn
教諭	きょうゆ	kyouyu
併設	へいせつ	heisetsu
附則	ふそく	fusoku
愚痴	ぐち	guchi
管轄	かんかつ	kannkatsu
楽譜	がくふ	gakufu
懐石	かいせき	kaiseki
捜索	そうさく	sousaku
吟醸	ぎんじょう	ginnjou
示唆	しさ	shisa
制覇	せいは	seiha
稼働	かどう	kadou
情緒	じょうしょ|じょうちょ	jousho|joucho
醸造	じょうぞう	jouzou
発祥	はっしょう	hasshou
炎症	えんしょう	ennshou
取り戻し	とりもどし	torimodoshi
下痢	げり	geri
肖像	しょうぞう|ちょさん	shouzou|chosann
秩序	ちつじょ	chitsujo
消耗	しょうもう|しょうこう	shoumou|shoukou
妊婦	にんぷ	ninnpu
欠陥	けっかん	kekkann
美肌	びはだ	bihada
蛍光	けいこう	keikou
山荘	さんそう	sannsou
喪失	そうしつ	soushitsu
挑む	いどむ	idomu
泥棒	どろぼう	dorobou
封筒	ふうとう|ぶうとう	fuutou|buutou
懇親	こんしん	konnshinn
戦艦	せんかん	sennkann
漬物	つけもの	tsukemono
本棚	ほんだな	honndana
干渉	かんしょう	kannshou
模索	もさく	mosaku
献金	けんきん	kennkinn
過疎	かそ	kaso
偏見	へんけん	hennkenn
恐竜	きょうりゅう	kyouryuu
釣行	ちょうこう	choukou
渓流	けいりゅう	keiryuu
触媒	しょくばい	shokubai
中核	ちゅうかく	chuukaku
懲役	ちょうえき	choueki
且つ	かつ	katsu
妥協	だきょう	dakyou
補充	ほじゅう	hojuu
高騰	こうとう	koutou
硫黄	いおう|ゆおう	iou|yuou
壮大	そうだい	soudai
総括	そうかつ	soukatsu
麻薬	まやく	mayaku
病棟	びょうとう	byoutou
誓い	ちかい	chikai
健診	けんしん	kennshinn
津波	つなみ	tsunami
奨励	しょうれい	shourei
愉快	ゆかい	yukai
懸賞	けんしょう	kennshou
釣れる	つれる	tsureru
虚偽	きょぎ	kyogi
靴下	くつした	kutsushita
拡充	かくじゅう	kakujuu
囲碁	いご	igo
嫌がらせ	いやがらせ	iyagarase
残酷	ざんこく	zannkoku
治癒	ちゆ	chiyu
浴槽	よくそう	yokusou
償却	しょうきゃく	shoukyaku
顕著	けんちょ	kenncho
培養	ばいよう	baiyou
閑静	かんせい	kannsei
真珠	しんじゅ	shinnju
扶養	ふよう	fuyou
解剖	かいぼう	kaibou
変遷	へんせん	hennsenn
枠組み	わくぐみ	wakugumi
猶予	ゆうよ	yuuyo
履き	はき|ばき	haki|baki
廃車	はいしゃ	haisha
搭乗	とうじょう	toujou
稼動	かどう	kadou
殺菌	さっきん	sakkinn
過酷	かこく	kakoku
包括	ほうかつ	houkatsu
法廷	ほうてい	houtei
厄介	やっかい	yakkai
模擬	もぎ	mogi
撤回	てっかい	tekkai
大嫌い	だいきらい	daikirai
重症	じゅうしょう	juushou
追悼	ついとう	tsuitou
沸騰	ふっとう	futtou
連覇	れんぱ	rennpa
誘拐	ゆうかい	yuukai
普遍	ふへん	fuhenn
内緒	ないしょ	naisho
奨学	しょうがく	shougaku
嫌悪	けんお	kenno
摩擦	まさつ	masatsu
主宰	しゅさい	shusai
川柳	せんりゅう|かわやなぎ	sennryuu|kawayanagi
刃物	はもの	hamono
痴漢	ちかん	chikann
懲戒	ちょうかい	choukai
消臭	しょうしゅう	shoushuu
稼げる	かせげる	kasegeru
褒美	ほうび	houbi
遮断	しゃだん	shadann
料亭	りょうてい	ryoutei
閣僚	かくりょう	kakuryou
拒絶	きょぜつ	kyozetsu
懸命	けんめい	kennmei
徹夜	てつや	tetsuya
磨く	みがく	migaku
大相撲	おおずもう	oozumou
献立	こんだて	konndate
釣り場	つりば	tsuriba
履修	りしゅう	rishuu
口臭	こうしゅう	koushuu
抗菌	こうきん	koukinn
挑発	ちょうはつ	chouhatsu
購買	こうばい	koubai
大麻	たいま	taima
中枢	ちゅうすう	chuusuu
杉山	すぎやま	sugiyama
奨め	すすめ	susume
浄水	じょうすい	jousui
婚姻	こんいん	konninn
斎場	さいじょう	saijou
片隅	かたすみ	katasumi
遍路	へんろ	hennro
贈呈	ぞうてい	zoutei
叔父	おじ|しゅくふ	oji|shukufu
頑固	がんこ	gannko
余韻	よいん	yoinn
缶詰	かんづめ	kanndume
下駄	げた	geta
併合	へいごう	heigou
研磨	けんま	kennma
清浄	せいじょう|しょうじょう	seijou|shoujou
窃盗	せっとう	settou
偽造	ぎぞう	gizou
謙虚	けんきょ	kennkyo
均衡	きんこう	kinnkou
履行	りこう	rikou
貨幣	かへい	kahei
透析	とうせき	touseki
朝廷	ちょうてい	choutei
捜し	さがし	sagashi
出汁	だし	dashi
拷問	ごうもん	goumonn
定款	ていかん	teikann
渋い	しぶい|しびい	shibui|shibii
償還	しょうかん	shoukann
逝く	いく|ゆく	iku|yuku
釣り人	つりびと	tsuribito
果汁	かじゅう	kajuu
粉砕	ふんさい	funnsai
棚田	たなだ	tanada
吟味	ぎんみ	ginnmi
還暦	かんれき	kannreki
索引	さくいん	sakuinn
捕虜	ほりょ	horyo
偽り	いつわり	itsuwari
陥る	おちいる	ochiiru
統括	とうかつ	toukatsu
傘下	さんか	sannka
仙人	せんにん	sennninn
亜鉛	あえん	aenn
好き嫌い	すききらい	sukikirai
結核	けっかく	kekkaku
癒す	いやす	iyasu
釣る	つる	tsuru
累計	るいけい	ruikei
醜い	みにくい|みにきい	minikui|minikii
発泡	はっぽう	happou
偵察	ていさつ	teisatsu
和尚	おしょう|かしょう|わじょう	oshou|kashou|wajou
適宜	てきぎ	tekigi
核心	かくしん	kakushinn
自粛	じしゅく	jishuku
泡盛	あわもり	awamori
今宵	こよい	koyoi
呉服	ごふく	gofuku
撤廃	てっぱい	teppai
由緒	ゆいしょ	yuisho
還付	かんぷ	kannpu
桟橋	さんばし	sannbashi
釣具	つりぐ	tsurigu
軍艦	ぐんかん	gunnkann
宮廷	きゅうてい	kyuutei
邸宅	ていたく	teitaku
金剛	こんごう	konngou
献血	けんけつ	kennketsu
旋律	せんりつ	sennritsu
歯磨き	はみがき	hamigaki
弊害	へいがい	heigai
伯爵	はくしゃく	hakushaku
系譜	けいふ	keifu
飢え	うえ|かつえ	ue|katsue
撤収	てっしゅう	tesshuu
褐色	かっしょく|かちいろ	kasshoku|kachiiro
租税	そぜい	sozei
竜馬	りゅうめ	ryuume
壮絶	そうぜつ	souzetsu
浄土	じょうど	joudo
嫌う	きらう|きろう	kirau|kirou
緒方	しょほう	shohou
崇拝	すうはい	suuhai
秀逸	しゅういつ	shuuitsu
海藻	かいそう	kaisou
依存症	いぞんしょう	izonnshou
駆逐	くちく	kuchiku
派閥	はばつ	habatsu
競艇	きょうてい	kyoutei
盆栽	ぼんさい	bonnsai
官邸	かんてい	kanntei
嫌気	いやけ|いやき|けんき	iyake|iyaki|kennki
垣間見	かいまみ	kaimami
勲章	くんしょう	kunnshou
黒猫	くろねこ	kuroneko
お披露目	おひろめ	ohirome
挿絵	さしえ	sashie
艦長	かんちょう	kannchou
寄附	きふ	kifu
抹消	まっしょう	masshou
献上	けんじょう	kennjou
叔母	おば|しゅくぼ	oba|shukubo
富裕	ふゆう	fuyuu
堀川	ほりかわ	horikawa
旋回	せんかい	sennkai
威嚇	いかく	ikaku
真偽	しんぎ	shinngi
麻布	あさぬの|まふ	asanuno|mafu
特捜	とくそう	tokusou
鳥肌	とりはだ	torihada
忍耐	にんたい	ninntai
紙幣	しへい	shihei
酪農	らくのう	rakunou
爆睡	ばくすい	bakusui
撲滅	ぼくめつ	bokumetsu
無駄遣い	むだづかい	mudadukai
植栽	しょくさい	shokusai
空洞	くうどう	kuudou
満塁	まんるい	mannrui
頑丈	がんじょう	gannjou
約款	やっかん	yakkann
媒介	ばいかい	baikai
括弧	かっこ	kakko
偽善	ぎぜん	gizenn
避妊	ひにん	hininn
偽物	ぎぶつ|にせもの	gibutsu|nisemono
侮辱	ぶじょく	bujoku
代償	だいしょう	daishou
感銘	かんめい	kannmei
柳川	やながわ	yanagawa
糾弾	きゅうだん	kyuudann
挿し	さし|ざし	sashi|zashi
蛇口	じゃぐち|へびくち	jaguchi|hebikuchi
廃業	はいぎょう	haigyou
癒着	ゆちゃく	yuchaku
音痴	おんち	onnchi
硫酸	りゅうさん	ryuusann
逸脱	いつだつ	itsudatsu
荒廃	こうはい	kouhai
肌触り	はだざわり	hadazawari
書斎	しょさい	shosai
竜王	りゅうおう	ryuuou
除菌	じょきん	jokinn
煩悩	ぼんのう	bonnnou
男爵	だんしゃく	dannshaku
入江	いりえ	irie
鉢植え	はちうえ	hachiue
ポン酢	ぽんず	ponnzu
筒井	つつい	tsutsui
軟骨	なんこつ	nannkotsu
硝子	がらす|しょうし	garasu|shoushi
寛容	かんよう	kannyou
哀愁	あいしゅう	aishuu
遺憾	いかん	ikann
享受	きょうじゅ	kyouju
生還	せいかん	seikann
長靴	ながぐつ|ちょうか	nagagutsu|chouka
偏り	かたより	katayori
清涼	せいりょう	seiryou
漆黒	しっこく	shikkoku
軍曹	ぐんそう	gunnsou
亭主	ていしゅ	teishu
貝塚	かいづか	kaiduka
剰余	じょうよ	jouyo
来賓	らいひん	raihinn
逸話	いつわ	itsuwa
頒布	はんぷ	hannpu
履く	はく	haku
裕福	ゆうふく	yuufuku
進呈	しんてい	shinntei
拙者	せっしゃ	sessha
擬似	ぎじ	giji
囚われ	とらわれ	toraware
抹殺	まっさつ	massatsu
漆器	しっき	shikki
青汁	あおじる	aojiru
素肌	すはだ	suhada
黒酢	くろず	kurozu
凹凸	おうとつ	outotsu
悪臭	あくしゅう	akushuu
休診	きゅうしん	kyuushinn
管弦楽	かんげんがく	kanngenngaku
大尉	たいい	taii
誓う	ちかう|ちこう	chikau|chikou
嫌味	いやみ	iyami
忍び	しのび	shinobi
銃撃	じゅうげき	juugeki
犬猫	いぬねこ	inuneko
譜面	ふめん	fumenn
融通	ゆうずう|ゆずう	yuuzuu|yuzuu
年俸	ねんぽう	nennpou
堕落	だらく	daraku
累積	るいせき	ruiseki
挟む	はさむ	hasamu
財閥	ざいばつ	zaibatsu
露呈	ろてい	rotei
窮屈	きゅうくつ	kyuukutsu
有償	ゆうしょう	yuushou
垣根	かきね	kakine
陥落	かんらく	kannraku
囚人	しゅうじん	shuujinn
貝殻	かいがら	kaigara
大雑把	おおざっぱ	oozappa
廃絶	はいぜつ	haizetsu
修羅	しゅら	shura
廃線	はいせん	haisenn
頻発	ひんぱつ	hinnpatsu
剛性	ごうせい	gousei
献身	けんしん	kennshinn
汚泥	おでい	odei
充当	じゅうとう	juutou
漸く	ようやく	youyaku
三塁	さんるい	sannrui
廃人	はいじん	haijinn
寛ぎ	くつろぎ	kutsurogi
下肢	かし	kashi
尚更	なおさら	naosara
塾長	じゅくちょう	jukuchou
水仙	すいせん|ずいせん	suisenn|zuisenn
熟睡	じゅくすい|うまい	jukusui|umai
駐屯	ちゅうとん	chuutonn
神棚	かみだな	kamidana
数珠	じゅず|ずず	juzu|zuzu
余剰	よじょう	yojou
円筒	えんとう	enntou
肌寒い	はだざむい|はださむい|はだざみい|はださみい	hadazamui|hadasamui|hadazamii|hadasamii
扶助	ふじょ	fujo
偏向	へんこう	hennkou
銃弾	じゅうだん	juudann
草履	ぞうり	zouri
洞察	どうさつ	dousatsu
便宜	べんぎ	benngi
奔走	ほんそう	honnsou
患部	かんぶ	kannbu
寧ろ	むしろ	mushiro
宜しい	よろしい	yoroshii
盗塁	とうるい	tourui
溶融	ようゆう	youyuu
遷移	せんい	senni
肌荒れ	はだあれ	hadaare
血栓	けっせん	kessenn
王妃	おうひ	ouhi
顕彰	けんしょう	kennshou
大蛇	だいじゃ|おろち	daija|orochi
謄本	とうほん	touhonn
歯茎	しけい|はぐき	shikei|haguki
気泡	きほう	kihou
伯父	おじ|はくふ	oji|hakufu
平衡	へいこう	heikou
荘厳	しょうごん|そうごん	shougonn|sougonn
新譜	しんぷ	shinnpu
一塁	いちるい	ichirui
安泰	あんたい	anntai
体臭	たいしゅう	taishuu
憤り	いきどおり	ikidoori
奪還	だっかん	dakkann
花瓶	かびん	kabinn
納涼	のうりょう	nouryou
珠玉	しゅぎょく	shugyoku
充てる	あてる	ateru
閑散	かんさん	kannsann
挟み	はさみ|ばさみ	hasami|basami
直轄	ちょっかつ	chokkatsu
偽者	にせもの	nisemono
友禅	ゆうぜん	yuuzenn
盲目	もうもく	moumoku
覇権	はけん	hakenn
充足	じゅうそく	juusoku
恐喝	きょうかつ	kyoukatsu
野良猫	のらねこ	noraneko
総督	そうとく	soutoku
賜物	たまもの	tamamono
硫化	りゅうか	ryuuka
出塁	しゅつるい	shutsurui
打診	だしん	dashinn
儒教	じゅきょう	jukyou
羅列	られつ	raretsu
禅師	ぜんじ	zennji
小鉢	こばち	kobachi
挑み	いどみ	idomi
充満	じゅうまん	juumann
軟弱	なんじゃく	nannjaku
遷都	せんと	sennto
早慶	そうけい	soukei
旋風	せんぷう|つむじかぜ	sennpuu|tsumujikaze
疎通	そつう	sotsuu
飢餓	きが	kiga
銘菓	めいか	meika
摩耗	まもう	mamou
懐中	かいちゅう|ふところ	kaichuu|futokoro
睡魔	すいま	suima
風鈴	ふうりん	fuurinn
中尉	ちゅうい	chuui
疲弊	ひへい	hihei
破砕	はさい	hasai
書棚	しょだな	shodana
枯渇	こかつ	kokatsu
覇者	はしゃ	hasha
枠内	わくない	wakunai
擬人	ぎじん	gijinn
雪渓	せっけい	sekkei
禅寺	ぜんでら	zenndera
空き缶	あきかん	akikann
艦船	かんせん	kannsenn
青柳	あおやぎ|あおやなぎ	aoyagi|aoyanagi
重曹	じゅうそう	juusou
窮地	きゅうち	kyuuchi
初診	しょしん	shoshinn
悠久	ゆうきゅう	yuukyuu
塩漬け	しおづけ	shioduke
払い戻し	はらいもどし	haraimodoshi
泥沼	どろぬま	doronuma
招き猫	まねきねこ	manekineko
弦楽	げんがく	genngaku
二塁	にるい	nirui
逝去	せいきょ	seikyo
誓約	せいやく	seiyaku
軟式	なんしき	nannshiki
画伯	がはく	gahaku
督促	とくそく	tokusoku
竜巻	たつまき	tatsumaki
醸成	じょうせい	jousei
四肢	しし	shishi
出稼ぎ	でかせぎ	dekasegi
宰相	さいしょう	saishou
長蛇	ちょうだ	chouda
晩酌	ばんしゃく	bannshaku
塾生	じゅくせい	jukusei
据え置き	すえおき	sueoki
駄文	だぶん	dabunn
懇願	こんがん	konngann
凸凹	でこぼこ	dekoboko
凹み	へこみ	hekomi
産廃	さんぱい	sannpai
蛇足	だそく	dasoku
沸く	わく	waku
冷酷	れいこく	reikoku
甲羅	こうら	koura
酢酸	さくさん	sakusann
困窮	こんきゅう	konnkyuu
紡ぎ	つむぎ	tsumugi
批准	ひじゅん	hijunn
地殻	ちかく	chikaku
検疫	けんえき	kenneki
拙い	つたない|まじい|まずい	tsutanai|majii|mazui
溶媒	ようばい	youbai
問診	もんしん	monnshinn
少尉	しょうい	shoui
奔放	ほんぽう	honnpou
懐疑	かいぎ	kaigi
疫学	えきがく	ekigaku
水筒	すいとう	suitou
懸け	かけ|がけ	kake|gake
疫病	えきびょう|やくびょう	ekibyou|yakubyou
肢体	したい	shitai
麻婆	まーぼー	ma-bo-
戻れる	もどれる	modoreru
頑張れる	がんばれる	gannbareru
逆戻り	ぎゃくもどり	gyakumodori
顕在	けんざい	kennzai
銘酒	めいしゅ	meishu
思索	しさく	shisaku
豚汁	とんじる|ぶたじる	tonnjiru|butajiru
廃校	はいこう	haikou
疎い	うとい	utoi
酷使	こくし	kokushi
硝酸	しょうさん	shousann
玉砕	ぎょくさい	gyokusai
酢の物	すのもの	sunomono
召還	しょうかん	shoukann
提督	ていとく	teitoku
日傘	ひがさ	higasa
漬け物	つけもの	tsukemono
疎開	そかい	sokai
肌着	はだぎ	hadagi
憤慨	ふんがい	funngai
公爵	こうしゃく	koushaku
寛大	かんだい	kanndai
褒める	ほめる	homeru
甚大	じんだい	jinndai
打撲	だぼく	daboku
甲殻	こうかく	koukaku
崇高	すうこう	suukou
元帥	げんすい	gennsui
泡立て	あわたて|あわだて	awatate|awadate
詐称	さしょう	sashou
診査	しんさ	shinnsa
艦艇	かんてい	kanntei
懸案	けんあん	kennann
甚だ	はなはだ	hanahada
蚊帳	かや|がや	kaya|gaya
稚拙	ちせつ	chisetsu
脱臭	だっしゅう	dasshuu
弁償	べんしょう	bennshou
遮る	さえぎる	saegiru
勇壮	ゆうそう	yuusou
非核	ひかく	hikaku
家督	かとく	katoku
所轄	しょかつ	shokatsu
駄作	ださく	dasaku
厄除け	やくよけ	yakuyoke
謹慎	きんしん	kinnshinn
括り	くくり	kukuri
護摩	ごま	goma
郷愁	きょうしゅう	kyoushuu
法曹	ほうそう	housou
座禅	ざぜん	zazenn
窯元	かまもと	kamamoto
泥酔	でいすい	deisui
拒む	こばむ	kobamu
斉唱	せいしょう	seishou
紡ぐ	つむぐ	tsumugu
統廃合	とうはいごう	touhaigou
土塁	どるい	dorui
覇王	はおう	haou
廃盤	はいばん	haibann
偏光	へんこう	hennkou
釣り師	つりし	tsurishi
伯母	おば|はくぼ	oba|hakubo
釣り船	つりぶね	tsuribune
酷似	こくじ	kokuji
怠惰	たいだ	taida
滅菌	めっきん	mekkinn
杉原	すぎはら|すぎわら	sugihara|sugiwara
送還	そうかん	soukann
急騰	きゅうとう	kyuutou
球菌	きゅうきん	kyuukinn
見附	みつけ	mitsuke
呈する	ていする	teisuru
愛猫	あいびょう	aibyou
捜す	さがす	sagasu
煮汁	にじる	nijiru
側溝	そっこう	sokkou
臭気	しゅうき	shuuki
肉汁	にくじゅう	nikujuu
遮光	しゃこう	shakou
上棟	じょうとう	joutou
培地	ばいち	baichi
亜種	あしゅ	ashu
懲罰	ちょうばつ	choubatsu
茶漬け	ちゃづけ	chaduke
雑菌	ざっきん	zakkinn
宣誓	せんせい	sennsei
強壮	きょうそう	kyousou
型枠	かたわく	katawaku
磨耗	まもう	mamou
一遍	いっぺん	ippenn
渇き	かわき	kawaki
霜降り	しもふり	shimofuri
酷評	こくひょう	kokuhyou
肌色	はだいろ	hadairo
下僕	げぼく	geboku
煩雑	はんざつ	hannzatsu
化粧品	けしょうひん	keshouhinn
廃棄物	はいきぶつ	haikibutsu
選択肢	せんたくし	senntakushi
診療所	しんりょうじょ	shinnryoujo
徹底的	てっていてき	tetteiteki
症候群	しょうこうぐん	shoukougunn
感染症	かんせんしょう	kannsennshou
偏差値	へんさち	hennsachi
花粉症	かふんしょう	kafunnshou
洗濯機	せんたくき	senntakuki
学習塾	がくしゅうじゅく	gakushuujuku
履歴書	りれきしょ	rirekisho
認知症	にんちしょう	ninnchishou
披露宴	ひろうえん	hirouenn
購入者	こうにゅうしゃ	kounyuusha
懇親会	こんしんかい	konnshinnkai
懇談会	こんだんかい	konndannkai
核兵器	かくへいき	kakuheiki
子猫	こねこ	koneko
実践的	じっせんてき	jissennteki
洗濯物	せんたくもの	senntakumono
奨学金	しょうがくきん	shougakukinn
不祥事	ふしょうじ	fushouji
潜水艦	せんすいかん	sennsuikann
不愉快	ふゆかい	fuyukai
妊娠中	にんしんちゅう	ninnshinnchuu
顕微鏡	けんびきょう	kennbikyou
化粧水	けしょうすい	keshousui
循環器	じゅんかんき	junnkannki
熱中症	ねっちゅうしょう	necchuushou
自閉症	じへいしょう	jiheishou
不機嫌	ふきげん	fukigenn
後遺症	こういしょう	kouishou
本塁打	ほんるいだ	honnruida
柔軟性	じゅうなんせい	juunannsei
名探偵	めいたんてい	meitanntei
免疫力	めんえきりょく	mennekiryoku
蛍光灯	けいこうとう	keikoutou
大吟醸	だいぎんじょう	daiginnjou
普遍的	ふへんてき	fuhennteki
駄菓子	だがし	dagashi
不妊症	ふにんしょう	funinnshou
合併症	がっぺいしょう	gappeishou
乳酸菌	にゅうさんきん	nyuusannkinn
詐欺師	さぎし	sagishi
恐怖症	きょうふしょう	kyoufushou
消耗品	しょうもうひん	shoumouhinn
准教授	じゅんきょうじゅ	junnkyouju
僕達	ぼくたち	bokutachi
診療科	しんりょうか	shinnryouka
関節症	かんせつしょう	kannsetsushou
核実験	かくじっけん	kakujikkenn
浄化槽	じょうかそう	joukasou
包括的	ほうかつてき	houkatsuteki
多汗症	たかんしょう	takannshou
診断書	しんだんしょ	shinndannsho
悪循環	あくじゅんかん	akujunnkann
剰余金	じょうよきん	jouyokinn
修羅場	しゅらば	shuraba
妥当性	だとうせい	datousei
挑戦者	ちょうせんしゃ	chousennsha
神経症	しんけいしょう	shinnkeishou
不謹慎	ふきんしん	fukinnshinn
盲導犬	もうどうけん	moudoukenn
充実感	じゅうじつかん	juujitsukann
治癒力	ちゆりょく	chiyuryoku
診断士	しんだんし	shinndannshi
肖像権	しょうぞうけん	shouzoukenn
肖像画	しょうぞうが	shouzouga
特捜部	とくそうぶ	tokusoubu
死刑囚	しけいしゅう	shikeishuu
浄水器	じょうすいき	jousuiki
捜査官	そうさかん	sousakann
肯定的	こうていてき	kouteiteki
擬人化	ぎじんか	gijinnka
吟醸酒	ぎんじょうしゅ	ginnjoushu
不眠症	ふみんしょう	fuminnshou
充電器	じゅうでんき	juudennki
賠償金	ばいしょうきん	baishoukinn
駆逐艦	くちくかん	kuchikukann
加齢臭	かれいしゅう	kareishuu
睡眠薬	すいみんやく	suiminnyaku
核燃料	かくねんりょう	kakunennryou
機関銃	きかんじゅう	kikannjuu
老廃物	ろうはいぶつ	rouhaibutsu
大腸菌	だいちょうきん	daichoukinn
駐屯地	ちゅうとんち	chuutonnchi
清浄機	せいじょうき	seijouki
診察室	しんさつしつ	shinnsatsushitsu
訴訟法	そしょうほう	soshouhou
倫理的	りんりてき	rinnriteki
発泡酒	はっぽうしゅ	happoushu
弦楽器	げんがっき	genngakki
亜熱帯	あねったい	anettai
麻酔科	ますいか	masuika
探偵団	たんていだん	tannteidann
無償化	むしょうか	mushouka
狭心症	きょうしんしょう	kyoushinnshou
循環器科	じゅんかんきか	junnkannkika
二塁打	にるいだ	niruida
核融合	かくゆうごう	kakuyuugou
患者数	かんじゃすう	kannjasuu
核武装	かくぶそう	kakubusou
表彰台	ひょうしょうだい	hyoushoudai
呉服店	ごふくてん	gofukutenn
浄水場	じょうすいじょう	jousuijou
駄菓子屋	だがしや	dagashiya
