見る	みる	miru
上空	じょうくう	joukuu
中年	ちゅうねん	tyuunenn
一人ひとり	ひとりひとり	hitorihitori
気まぐれ	きまぐれ	kimagure
本校	ほんこう	honnkou
山手	やまて|やまのて	yamate|yamanote
空手	からて|そらで|くうしゅ	karate|sorade|kuushu
生ん	うん|なん	unn|nann
気力	きりょく	kiryoku
足し	たし	tashi
立ち上がり	たちあがり	tachiagari
目玉	めだま	medama
水田	すいでん|みずた	suidenn|mizuta
川上	かわかみ	kawakami
見本	みほん	mihonn
手のひら	てのひら	tenohira
本学	ほんがく	honngaku
玉子	たまご	tamago
水上	すいじょう|みなかみ	suijou|minakami
年上	としうえ	toshiue
花びら	はなびら	hanabira
日の出	ひので	hinode
先ほど	さきほど	sakihodo
学べる	まなべる	manaberu
小生	しょうせい	shousei
本土	ほんど	honndo
白人	はくじん	hakujinn
出土	しゅつど	shutsudo
休む	やすむ	yasumu
いち早く	いちはやく	ichihayaku
出生	しゅっしょう|しゅっせい	shusshou|shussei
大小	だいしょう	daishou
生かす	いかす	ikasu
空白	くうはく	kuuhaku
生む	うむ	umu
火力	かりょく	karyoku
町名	ちょうめい	tyoumei
石けん	せっけん|いしけん	sekkenn|ishikenn
大石	おおいし|だいせき	ooishi|daiseki
上人	しょうにん	shouninn
大川	おおかわ|だいせん	ookawa|daisenn
中立	ちゅうりつ	tyuuritsu
天文	てんもん	tennmonn
手づくり	てづくり	tedukuri
下し	おろし|くだし	oroshi|kudashi
下町	したまち	shitamachi
大王	だいおう|おおきみ	daiou|ookimi
天空	てんくう	tennkuu
玉ねぎ	たまねぎ	tamanegi
九月	くがつ|ながつき	kugatsu|nagatsuki
見どころ	みどころ	midokoro
年下	としした	toshishita
大木	たいぼく	taiboku
村人	むらびと	murabito
正に	まさに	masani
力学	りきがく	rikigaku
大さじ	おおさじ	oosaji
生き生き	いきいき	ikiiki
大して	たいして	taishite
大口	おおくち|おおぐち	ookuchi|ooguchi
下田	げでん	gedenn
小雨	こさめ|しょうう	kosame|shouu
天下り	あまくだり	amakudari
左上	ひだりうえ	hidariue
年月日	ねんがっぴ	nenngappi
土手	どて	dote
小口	こぐち|こくち	koguchi|kokuchi
天草	てんぐさ	tenngusa
夕べ	ゆうべ	yuube
一大	いちだい	ichidai
名目	めいもく|みょうもく	meimoku|myoumoku
月日	つきひ|がっぴ	tsukihi|gappi
一口	ひとくち	hitokuchi
人名	じんめい	jinnmei
金山	かなやま|きんざん	kanayama|kinnzann
人びと	ひとびと	hitobito
ほうれん草	ほうれんそう	hourennsou
草花	くさばな	kusabana
日ごろ	ひごろ	higoro
大げさ	おおげさ	oogesa
右足	みぎあし	migiashi
生ずる	しょうずる	shouzuru
文中	ぶんちゅう	bunntyuu
左足	ひだりあし	hidariashi
手口	てぐち	teguchi
足音	あしおと	ashioto
一足	いっそく|ひとあし	issoku|hitoashi
生み	うみ|なまみ	umi|namami
雨天	うてん	utenn
町立	ちょうりつ	tyouritsu
人力	じんりき|じんりょく	jinnriki|jinnryoku
下水	げすい|したみず	gesui|shitamizu
下見	したみ	shitami
校正	こうせい	kousei
手すり	てすり	tesuri
先人	せんじん	sennjinn
水木	みずき	mizuki
山村	さんそん	sannsonn
日にち	ひにち	hinichi
草木	くさき|そうもく	kusaki|soumoku
雨水	あまみず|うすい	amamizu|usui
山車	だし|だんじり|やまぐるま	dashi|dannjiri|yamaguruma
立花	りっか	rikka
大いなる	おおいなる	ooinaru
山川	さんせん|やまかわ|やまがわ	sannsenn|yamakawa|yamagawa
王女	おうじょ|ひめみこ	oujo|himemiko
名山	めいざん	meizann
車中	しゃちゅう	shatyuu
小町	こまち	komachi
山林	さんりん	sannrinn
本山	ほんざん	honnzann
手がける	てがける	tegakeru
気さく	きさく	kisaku
立ち入り	たちいり	tachiiri
左下	ひだりした	hidarishita
一文	いちぶん|いちもん	ichibunn|ichimonn
人目	ひとめ	hitome
名水	めいすい	meisui
大金	たいきん|おおがね	taikinn|oogane
大空	おおぞら	oozora
生きがい	いきがい	ikigai
手がかり	てがかり	tegakari
目先	めさき	mesaki
人文	じんぶん|じんもん	jinnbunn|jinnmonn
あだ名	あだな	adana
見立て	みたて	mitate
竹林	ちくりん|たけばやし	chikurinn|takebayashi
白金	しろがね|はっきん	shirogane|hakkinn
正し	せいし|ただし|まさし	seishi|tadashi|masashi
名字	みょうじ	myouji
生れ	うまれ|なれ	umare|nare
手ごろ	てごろ	tegoro
大まか	おおまか	oomaka
小人	こども|こびと|しょうにん|しょうじん	kodomo|kobito|shouninn|shoujinn
人手	ひとで	hitode
先手	せんて|さきて	sennte|sakite
下ろす	おろす	orosu
下校	げこう	gekou
三男	さんなん	sannnann
手ぬぐい	てぬぐい	tenugui
足下	あしもと|そっか	ashimoto|sokka
水虫	みずむし	mizumushi
生える	はえる|ばえる	haeru|baeru
下りる	おりる	oriru
木目	もくめ|きめ	mokume|kime
七つ	ななつ	nanatsu
一休み	ひとやすみ	hitoyasumi
水気	みずけ|すいき	mizuke|suiki
月見	つきみ	tsukimi
水草	みずくさ|すいそう	mizukusa|suisou
山上	さんじょう	sannjou
出先	でさき	desaki
人出	ひとで	hitode
出だし	でだし|いだし	dedashi|idashi
生花	いけばな|せいか	ikebana|seika
十字	じゅうじ	juuji
手先	てさき	tesaki
下す	くだす|おろす	kudasu|orosu
四天王	してんのう	shitennnou
正気	しょうき|せいき	shouki|seiki
町中	まちじゅう|まちなか	machijuu|machinaka
見せかけ	みせかけ	misekake
水車	すいしゃ|みずぐるま	suisha|mizuguruma
サラ金	さらきん	sarakinn
小さじ	こさじ	kosaji
生い立ち	おいたち	oitachi
生きもの	いきもの	ikimono
天上	てんじょう	tennjou
小ぶり	こぶり	koburi
ケ月	かげつ	kagetsu
雨上がり	あめあがり	ameagari
見出す	みいだす	miidasu
天王	てんのう|てんおう|ちょのわん	tennnou|tennou|tyonowann
石山	いしやま	ishiyama
手本	てほん|でほん	tehonn|dehonn
天の川	あまのがわ	amanogawa
目下	めした|もっか	meshita|mokka
木立	こだち	kodachi
つま先	つまさき	tsumasaki
日日	ひにち|ひび|にちにち	hinichi|hibi|nichinichi
出水	しゅっすい|でみず	shussui|demizu
白子	しらこ|しらす|しろこ	shirako|shirasu|shiroko
むき出し	むきだし	mukidashi
火花	ひばな	hibana
水力	すいりょく	suiryoku
はみ出し	はみだし	hamidashi
出し入れ	だしいれ	dashiire
名手	めいしゅ	meishu
小石	こいし	koishi
先天	せんてん	senntenn
生かせる	いかせる	ikaseru
月下	げっか	gekka
空っぽ	からっぽ	karappo
足りる	たりる	tariru
先立ち	さきだち	sakidachi
火口	かこう|ひぐち|ほくち	kakou|higuchi|hokuchi
白木	しらき|しろき	shiraki|shiroki
出入り口	でいりぐち	deiriguchi
日月	じつげつ	jitsugetsu
出入口	でいりぐち	deiriguchi
木の下	このした|このもと	konoshita|konomoto
水生	すいせい	suisei
文人	ぶんじん	bunnjinn
山水	さんすい|やまみず	sannsui|yamamizu
早口	はやくち|はやぐち	hayakuchi|hayaguchi
休める	やすめる	yasumeru
見ごたえ	みごたえ	migotae
気がかり	きがかり	kigakari
入山	にゅうざん	nyuuzann
花月	かげつ	kagetsu
子女	しじょ	shijo
中空	ちゅうくう|なかぞら	tyuukuu|nakazora
千本	せんぼん	sennbonn
学名	がくめい	gakumei
一気	いっき	ikki
生まれつき	うまれつき	umaretsuki
本木	もとき	motoki
天子	てんし	tennshi
目の下	めのした	menoshita
女中	じょちゅう	jotyuu
水玉	みずたま	mizutama
大目	おおめ	oome
白玉	しらたま|はくぎょく	shiratama|hakugyoku
水口	みずぐち|みなくち	mizuguchi|minakuchi
足す	たす	tasu
足る	たる	taru
山の手	やまのて	yamanote
竹の子	たけのこ	takenoko
空く	あく|すく|むなしく	aku|suku|munashiku
出火	しゅっか	shukka
赤木	あかぎ	akagi
花王	かおう	kaou
草むら	くさむら	kusamura
目白	めじろ	mejiro
町人	ちょうにん|まちびと	tyouninn|machibito
お目見え	おめみえ	omemie
赤子	あかご|せきし	akago|sekishi
山名	さんめい	sannmei
女人	にょにん	nyoninn
大人しい	おとなしい	otonashii
大日	だいにち	dainichi
水月	すいげつ	suigetsu
天女	てんにょ	tennnyo
入校	にゅうこう	nyuukou
ひと月	ひとつき	hitotsuki
手下	てした|てか	teshita|teka
人ごみ	ひとごみ	hitogomi
口先	くちさき	kuchisaki
七草	ななくさ	nanakusa
夕立	ゆうだち	yuudachi
気まずい	きまずい	kimazui
正す	ただす	tadasu
手ぶら	てぶら	tebura
人だかり	ひとだかり	hitodakari
大本	おおもと|たいほん	oomoto|taihonn
花木	かぼく|はなき	kaboku|hanaki
生ける	いける	ikeru
右目	みぎめ	migime
立木	たちき|りゅうぼく	tachiki|ryuuboku
左目	ひだりめ	hidarime
金目	かねめ|きんめ	kaneme|kinnme
白水	しろみず	shiromizu
中火	ちゅうび	tyuubi
天日	てんじつ|てんぴ	tennjitsu|tennpi
出金	しゅっきん	shukkinn
名月	めいげつ	meigetsu
日出	にっしゅつ	nisshutsu
口出し	くちだし	kuchidashi
水子	みずこ|みずご	mizuko|mizugo
休校	きゅうこう	kyuukou
糸口	いとぐち	itoguchi
でっち上げ	でっちあげ	decchiage
一人	ひとり	hitori
二人	ふたり	futari
日本人	にっぽんじん|にほんじん	nipponnjinn|nihonnjinn
一日	ついたち	tsuitachi
小学校	しょうがっこう	shougakkou
二十	にじゅう|はつ|はたち	nijuu|hatsu|hatachi
中学校	ちゅうがっこう	tyuugakkou
小学生	しょうがくせい	shougakusei
三十	さんじゅう	sannjuu
一本	いっぽん	ipponn
日中	にっちゅう|ひなか	nittyuu|hinaka
中学生	ちゅうがくせい	tyuugakusei
十二	じゅうに	juuni
三人	さんにん	sannninn
五十	ごじゅう	gojuu
四十	しじゅう|よんじゅう	shijuu|yonnjuu
大人気	おとなげ|だいにんき	otonage|daininnki
大学生	だいがくせい	daigakusei
六十	ろくじゅう	rokujuu
三日	みっか	mikka
八十	はちじゅう|やそ	hachijuu|yaso
一人一人	ひとりひとり	hitorihitori
七十	しちじゅう|ななじゅう|ななそ	shichijuu|nanajuu|nanaso
二百	にひゃく|ふたひゃく	nihyaku|futahyaku
千人	せんにん	sennninn
百人	ひゃくにん	hyakuninn
子犬	こいぬ	koinu
九十	きゅうじゅう	kyuujuu
四人	よにん	yoninn
三百	さんびゃく	sannbyaku
人中	ひとなか|じんちゅう|にんちゅう	hitonaka|jinntyuu|ninntyuu
右上	みぎうえ	migiue
大文字	おおもじ|だいもんじ	oomoji|daimonnji
二十四	にじゅうよん	nijuuyonn
五百	ごひゃく	gohyaku
二十一	にじゅういち	nijuuichi
七日	なのか	nanoka
女子大	じょしだい	joshidai
三千	さんぜん	sannzenn
二千	にせん	nisenn
小文字	こもじ	komoji
五人	ごにん	goninn
右下	みぎした	migishita
月中	げっちゅう	gettyuu
生年月日	せいねんがっぴ	seinenngappi
八百	やお|はっぴゃく	yao|happyaku
七五三	しちごさん	shichigosann
九九	くく	kuku
一二	いちに	ichini
一八	いちはつ	ichihatsu
五千	ごせん	gosenn
二三	にさん	nisann
四百	よんひゃく|しひゃく	yonnhyaku|shihyaku
一手	いって	itte
二子	ふたご|ふたこ	futago|futako
小中学生	しょうちゅうがくせい	shoutyuugakusei
一一	いちいち	ichiichi
一円	いちえん	ichienn
小一	しょういち	shouichi
一六	いちろく	ichiroku
学校名	がっこうめい	gakkoumei
一千	いっせん	issenn
天文学	てんもんがく	tennmonngaku
六百	ろっぴゃく	roppyaku
二人目	ふたりめ	futarime
七百	ななひゃく	nanahyaku
千石	せんごく	senngoku
九十九	つくも|きゅうじゅうきゅう	tsukumo|kyuujuukyuu
空気中	くうきちゅう	kuukityuu
五目	ごもく	gomoku
一名	いちめい	ichimei
三四	さんよん|さんよ	sannyonn|sannyo
大日本	だいにっぽん|だいにほん	dainipponn|dainihonn
一字	いちじ	ichiji
四六	しろく	shiroku
四千	よんせん	yonnsenn
早目	はやめ	hayame
日本円	にほんえん	nihonnenn
八千	はっせん	hassenn
九六	くんろく	kunnroku
大先生	だいせんせい	daisennsei
四五	しご	shigo
三十日	みそか	misoka
小花	こばな	kobana
二八	にっぱち|にはち	nippachi|nihachi
中二	ちゅうに	tyuuni
大大	だいだい	daidai
出玉	でだま	dedama
六千	ろくせん	rokusenn
大学校	だいがっこう	daigakkou
四大	しだい	shidai
三五	さんご	sanngo
先見	せんけん|さきみ	sennkenn|sakimi
雨音	あまおと	amaoto
