地域	ちいき	chiiki
軽視	けいし	keishi
裏腹	うらはら	urahara
道筋	みちすじ	michisuji
親善	しんぜん	shinnzenn
改憲	かいけん	kaikenn
並列	へいれつ	heiretsu
王将	おうしょう	oushou
縦断	じゅうだん	juudann
所存	しょぞん	shozonn
絶頂	ぜっちょう	zecchou
出納	すいとう	suitou
届け先	とどけさき	todokesaki
結納	ゆいのう	yuinou
度胸	どきょう	dokyou
水域	すいいき	suiiki
幼女	ようじょ	youjo
苦難	くなん	kunann
皇居	こうきょ	koukyo
激動	げきどう	gekidou
異色	いしょく	ishoku
秘境	ひきょう	hikyou
洗礼	せんれい	sennrei
遺物	いぶつ	ibutsu
染まる	そまる	somaru
首筋	くびすじ	kubisuji
博覧	はくらん	hakurann
樹林	じゅりん	jurinn
中将	ちゅうじょう	chuujou
宅建	たっけん	takkenn
編著	へんちょ	henncho
巻頭	かんとう	kanntou
映える	はえる	haeru
有難い	ありがたい	arigatai
蒸し暑い	むしあちい|むしあつい	mushiachii|mushiatsui
電脳	でんのう	dennnou
規律	きりつ	kiritsu
収める	おさめる	osameru
将校	しょうこう	shoukou
至極	しごく	shigoku
重奏	じゅうそう	juusou
遺品	いひん	ihinn
飛び降り	とびおり|とびくだり	tobiori|tobikudari
欠片	かけら|けっぺん	kakera|keppenn
大蔵	おおくら|だいぞう	ookura|daizou
密教	みっきょう	mikkyou
臨場	りんじょう	rinnjou
遺骨	いこつ	ikotsu
退任	たいにん	taininn
樹立	じゅりつ|こだち	juritsu|kodachi
退散	たいさん	taisann
忠誠	ちゅうせい	chuusei
創始	そうし	soushi
豊胸	ほうきょう	houkyou
中腹	ちゅうふく|なかはら	chuufuku|nakahara
大樹	たいじゅ	taiju
終値	おわりね	owarine
射殺	しゃさつ	shasatsu
水洗い	みずあらい	mizuarai
登頂	とうちょう|とちょう	touchou|tochou
亡くなる	なくなる	nakunaru
若返り	わかがえり	wakagaeri
石灰	せっかい|いしばい	sekkai|ishibai
論外	ろんがい	ronngai
最盛	さいせい	saisei
中退	ちゅうたい	chuutai
朝晩	あさばん	asabann
胸部	きょうぶ	kyoubu
否認	ひにん	hininn
優美	ゆうび	yuubi
正座	せいざ	seiza
三蔵	さんぞう	sannzou
極秘	ごくひ	gokuhi
推察	すいさつ	suisatsu
幼なじみ	おさななじみ	osananajimi
肺がん	はいがん	haigann
地層	ちそう	chisou
夕刻	ゆうこく	yuukoku
激痛	げきつう	gekitsuu
教皇	きょうこう	kyoukou
割高	わりだか	waridaka
恩返し	おんがえし	onngaeshi
垂れ流し	たれながし	tarenagashi
磁場	じば|じじょう	jiba|jijou
背骨	せぼね	sebone
至近	しきん	shikinn
署長	しょちょう	shochou
真紅	しんく	shinnku
訳者	やくしゃ	yakusha
傷口	きずぐち	kizuguchi
裏手	うらて	urate
推計	すいけい	suikei
下層	かそう	kasou
警部	けいぶ	keibu
延命	えんめい	ennmei
密室	みっしつ	misshitsu
秘湯	ひとう	hitou
絵巻	えまき	emaki
異質	いしつ	ishitsu
尊い	たっとい|とうとい	tattoi|toutoi
染料	せんりょう	sennryou
窓際	まどぎわ	madogiwa
温存	おんぞん	onnzonn
忘れ物	わすれもの	wasuremono
翌月	よくげつ	yokugetsu
恩師	おんし	onnshi
弁済	べんさい	bennsai
就いて	ついて	tsuite
聖母	せいぼ	seibo
盛り付け	もりつけ	moritsuke
疑似	ぎじ	giji
刻む	きざむ	kizamu
表層	ひょうそう	hyousou
気密	きみつ	kimitsu
拝観	はいかん	haikann
裏返し	うらがえし	uragaeshi
退学	たいがく	taigaku
災難	さいなん	sainann
推し	すいし|おし	suishi|oshi
秘話	ひわ	hiwa
権現	ごんげん	gonngenn
収蔵	しゅうぞう	shuuzou
至急	しきゅう	shikyuu
足裏	あしうら	ashiura
光源	こうげん	kougenn
沿道	えんどう	enndou
死傷	ししょう	shishou
朗報	ろうほう	rouhou
密閉	みっぺい	mippei
降雨	こうう	kouu
党内	とうない	tounai
合奏	がっそう	gassou
流派	りゅうは	ryuuha
切腹	せっぷく	seppuku
純一	じゅんいつ	junnitsu
内覧	ないらん	nairann
帯域	たいいき	taiiki
両論	りょうろん	ryouronn
吸入	きゅうにゅう	kyuunyuu
純情	じゅんじょう	junnjou
台座	だいざ	daiza
卒論	そつろん	sotsuronn
後ろ姿	うしろすがた	ushirosugata
系図	けいず	keizu
脳死	のうし	noushi
乱立	らんりつ	rannritsu
殺傷	さっしょう	sasshou
担ぎ	かつぎ	katsugi
片足	かたあし	kataashi
下巻	げかん	gekann
割増	わりまし	warimashi
収まり	おさまり	osamari
男優	だんゆう	dannyuu
正絹	しょうけん	shoukenn
高貴	こうき	kouki
善悪	ぜんあく	zennaku
ひび割れ	ひびわれ	hibiware
月収	げっしゅう	gesshuu
砂防	さぼう	sabou
探知	たんち	tannchi
垂水	たるみ	tarumi
背負う	せおう|しょう	seou|shou
縮尺	しゅくしゃく	shukushaku
降板	こうばん	koubann
割れる	われる	wareru
乗降	じょうこう	joukou
私学	しがく	shigaku
低脳	ていのう	teinou
株券	かぶけん	kabukenn
預ける	あずける	azukeru
尺八	しゃくはち	shakuhachi
君臨	くんりん	kunnrinn
海沿い	うみぞい	umizoi
鋼板	こうはん	kouhann
お供え	おそなえ	osonae
仮装	かそう	kasou
晩秋	ばんしゅう	bannshuu
支庁	しちょう	shichou
探究	たんきゅう	tannkyuu
一巻	いっかん	ikkann
紅い	あかい	akai
片思い	かたおもい	kataomoi
物欲	ぶつよく	butsuyoku
裏金	うらがね	uragane
熟し	じゅくし|こなし	jukushi|konashi
歯並び	はならび	hanarabi
就く	つく|づく	tsuku|duku
画策	かくさく	kakusaku
納める	おさめる	osameru
割愛	かつあい	katsuai
弁論	べんろん	bennronn
遺書	いしょ	isho
陽射し	ひざし	hizashi
近視	きんし	kinnshi
否決	ひけつ	hiketsu
厳守	げんしゅ	gennshu
裏切る	うらぎる	uragiru
染める	そめる	someru
鋼鉄	こうてつ	koutetsu
派兵	はへい	hahei
灰皿	はいざら	haizara
臨界	りんかい	rinnkai
山系	さんけい	sannkei
異名	いみょう|いめい	imyou|imei
痛快	つうかい	tsuukai
黒潮	くろしお	kuroshio
退団	たいだん	taidann
裏山	うらやま	urayama
憲章	けんしょう	kennshou
純度	じゅんど	junndo
割当	わりあて	wariate
吸水	きゅうすい	kyuusui
創意	そうい	soui
権益	けんえき	kenneki
体裁	ていさい	teisai
純白	じゅんぱく	junnpaku
賃貸借	ちんたいしゃく	chinntaishaku
別段	べつだん	betsudann
版権	はんけん	hannkenn
乱用	らんよう	rannyou
傷つく	きずつく	kizutsuku
直視	ちょくし	chokushi
就航	しゅうこう	shuukou
裁き	さばき	sabaki
国策	こくさく	kokusaku
危害	きがい	kigai
縦横	じゅうおう|たてよこ	juuou|tateyoko
背負い	せおい|しょい	seoi|shoi
強敵	きょうてき|ごうてき	kyouteki|gouteki
衆生	しゅじょう	shujou
裏地	うらじ	uraji
注視	ちゅうし	chuushi
我家	わがや	wagaya
幕開け	まくあけ	makuake
誤認	ごにん	goninn
磁性	じせい	jisei
客層	きゃくそう	kyakusou
晩飯	ばんめし	bannmeshi
傷病	しょうびょう	shoubyou
親密	しんみつ	shinnmitsu
穴子	あなご	anago
古泉	こせん	kosenn
潮風	しおかぜ	shiokaze
専ら	もっぱら	moppara
降雪	こうせつ	kousetsu
綿密	めんみつ	mennmitsu
善良	ぜんりょう	zennryou
済ませる	すませる	sumaseru
従兄弟	いとこ|じゅうけいてい	itoko|juukeitei
供用	きょうよう	kyouyou
持論	じろん	jironn
論じる	ろんじる	ronnjiru
積層	せきそう	sekisou
尺度	しゃくど	shakudo
黒幕	くろまく	kuromaku
天敵	てんてき	tennteki
悪党	あくとう	akutou
秘宝	ひほう	hihou
目視	もくし	mokushi
机上	きじょう	kijou
納骨	のうこつ	noukotsu
激変	げきへん	gekihenn
上値	うわね	uwane
値動き	ねうごき	neugoki
聖域	せいいき	seiiki
私見	しけん	shikenn
装束	しょうぞく	shouzoku
和訳	わやく	wayaku
閉館	へいかん	heikann
退け	しりぞけ|どけ|のけ|ひけ	shirizoke|doke|noke|hike
皮革	ひかく	hikaku
簡略	かんりゃく	kannryaku
痛風	つうふう	tsuufuu
連射	れんしゃ	rennsha
裁定	さいてい	saitei
純愛	じゅんあい	junnai
無痛	むつう	mutsuu
下腹	かふく|したはら	kafuku|shitahara
補欠	ほけつ	hoketsu
一派	いっぱ	ippa
晩ご飯	ばんごはん	banngohann
熟知	じゅくち	jukuchi
危うい	あやうい	ayaui
書誌	しょし	shoshi
片付ける	かたづける	katadukeru
洗える	あらえる	araeru
後姿	うしろすがた	ushirosugata
厳正	げんせい	gennsei
勤続	きんぞく	kinnzoku
閉める	しめる	shimeru
異形	いぎょう|いけい	igyou|ikei
呼び捨て	よびすて	yobisute
本庁	ほんちょう	honnchou
糖質	とうしつ	toushitsu
拝借	はいしゃく	haishaku
宣戦	せんせん	sennsenn
敬愛	けいあい	keiai
名著	めいちょ	meicho
従属	じゅうぞく	juuzoku
値下がり	ねさがり	nesagari
人並み	ひとなみ	hitonami
欲張り	よくばり	yokubari
糖度	とうど	toudo
鋼材	こうざい	kouzai
利己	りこ	riko
専修	せんしゅう	sennshuu
裁断	さいだん	saidann
皇女	おうじょ|こうじょ|ひめみこ|みこ	oujo|koujo|himemiko|miko
除名	じょめい	jomei
勤勉	きんべん	kinnbenn
糖分	とうぶん	toubunn
聖火	せいか	seika
論調	ろんちょう	ronnchou
増収	ぞうしゅう	zoushuu
操り	あやつり	ayatsuri
真っ盛り	まっさかり	massakari
揮発	きはつ	kihatsu
班長	はんちょう	hannchou
真宗	しんしゅう	shinnshuu
補習	ほしゅう	hoshuu
黄砂	こうさ	kousa
服従	ふくじゅう	fukujuu
疑念	ぎねん	ginenn
磁器	じき	jiki
未納	みのう	minou
視認	しにん	shininn
決裁	けっさい	kessai
収量	しゅうりょう	shuuryou
純金	じゅんきん	junnkinn
論説	ろんせつ	ronnsetsu
右脳	うのう	unou
加担	かたん	katann
追従	ついじゅう|ついしょう	tsuijuu|tsuishou
中段	ちゅうだん	chuudann
英訳	えいやく	eiyaku
山並み	やまなみ	yamanami
黄泉	こうせん|よみ	kousenn|yomi
専科	せんか	sennka
仲裁	ちゅうさい	chuusai
便座	べんざ	bennza
俳人	はいじん	haijinn
胃がん	いがん	igann
私大	しだい	shidai
巻き上げ	まきあげ	makiage
看病	かんびょう	kannbyou
左派	さは	saha
半熟	はんじゅく	hannjuku
延びる	のびる	nobiru
呼応	こおう	koou
仁義	じんぎ	jinngi
私事	しじ|わたくしごと	shiji|watakushigoto
若宮	わかみや	wakamiya
難航	なんこう	nannkou
諸説	しょせつ	shosetsu
難題	なんだい	nanndai
巻物	まきもの	makimono
雨降り	あめふり	amefuri
策略	さくりゃく	sakuryaku
乳酸	にゅうさん	nyuusann
暖冬	だんとう	danntou
一樹	いちじゅ	ichiju
推論	すいろん	suironn
宗家	そうけ	souke
公私	こうし	koushi
口紅	くちべに	kuchibeni
針金	はりがね	harigane
上巻	じょうかん	joukann
裏方	うらかた	urakata
帰郷	ききょう	kikyou
無傷	むきず	mukizu
収拾	しゅうしゅう	shuushuu
樹海	じゅかい	jukai
干す	ほす	hosu
善人	ぜんにん	zennninn
卵黄	らんおう	rannou
減退	げんたい	genntai
心肺	しんぱい	shinnpai
難問	なんもん	nannmonn
低層	ていそう	teisou
券売	けんばい	kennbai
供え	そなえ	sonae
親権	しんけん	shinnkenn
簡便	かんべん	kannbenn
己が	おのが	onoga
発券	はっけん	hakkenn
紅色	こうしょく|べにいろ	koushoku|beniiro
装丁	そうてい	soutei
沿う	そう	sou
映す	うつす	utsusu
優れもの	すぐれもの	suguremono
私物	しぶつ	shibutsu
私設	しせつ	shisetsu
少将	しょうしょう	shoushou
乱れる	みだれる	midareru
密約	みつやく	mitsuyaku
変装	へんそう	hennsou
秘蔵	ひぞう|ひぞ	hizou|hizo
直腸	ちょくちょう	chokuchou
片面	かためん	katamenn
山盛り	やまもり	yamamori
疑わしい	うたがわしい	utagawashii
屋根裏	やねうら	yaneura
論破	ろんぱ	ronnpa
至難	しなん	shinann
砂地	すなじ|すなち	sunaji|sunachi
増補	ぞうほ	zouho
至る所	いたるところ	itarutokoro
若菜	わかな	wakana
訪日	ほうにち	hounichi
心筋	しんきん	shinnkinn
感傷	かんしょう	kannshou
乳頭	にゅうとう	nyuutou
街宣	がいせん	gaisenn
忠義	ちゅうぎ	chuugi
署員	しょいん	shoinn
源平	げんぺい	gennpei
舌打ち	したうち	shitauchi
難なく	なんなく	nannnaku
窓辺	まどべ	madobe
特段	とくだん	tokudann
清純	せいじゅん	seijunn
従順	じゅうじゅん	juujunn
糖類	とうるい	tourui
装具	そうぐ	sougu
自腹	じばら	jibara
縮毛	しゅくもう	shukumou
戦乱	せんらん	sennrann
音域	おんいき	onniki
定刻	ていこく	teikoku
熟年	じゅくねん	jukunenn
警護	けいご	keigo
暮れる	くれる	kureru
ゆで卵	ゆでたまご	yudetamago
毒舌	どくぜつ	dokuzetsu
一座	いちざ	ichiza
射出	しゃしゅつ	shashutsu
密輸	みつゆ	mitsuyu
減収	げんしゅう	gennshuu
土砂降り	どしゃぶり	doshaburi
聖戦	せいせん	seisenn
水洗	すいせん	suisenn
下値	したね	shitane
持株	もちかぶ	mochikabu
背もたれ	せもたれ	semotare
直系	ちょっけい	chokkei
乳液	にゅうえき	nyuueki
難所	なんしょ	nannsho
受難	じゅなん	junann
観衆	かんしゅう	kannshuu
完済	かんさい	kannsai
野暮	やぼ	yabo
口論	こうろん	kouronn
預かる	あずかる	azukaru
穴あけ	あなあけ	anaake
専売	せんばい	sennbai
鋼管	こうかん	koukann
目処	めど	medo
奮戦	ふんせん	funnsenn
郷里	きょうり|ごうり	kyouri|gouri
降順	こうじゅん	koujunn
諸氏	しょし	shoshi
てんこ盛り	てんこもり	tennkomori
家宅	かたく	kataku
激務	げきむ	gekimu
鉱泉	こうせん	kousenn
都庁	とちょう	tochou
拝読	はいどく	haidoku
本筋	ほんすじ	honnsuji
全盛	ぜんせい	zennsei
皇位	こうい	koui
冬至	とうじ	touji
持ち株	もちかぶ	mochikabu
創世	そうせい	sousei
日勤	にっきん	nikkinn
敵国	てきこく|てっこく	tekikoku|tekkoku
割れ目	われめ	wareme
小刻み	こきざみ	kokizami
脳波	のうは	nouha
就農	しゅうのう	shuunou
家宝	かほう	kahou
宣教	せんきょう	sennkyou
春巻き	はるまき	harumaki
論評	ろんぴょう	ronnpyou
骨太	ほねぶと	honebuto
裏打ち	うらうち	urauchi
習熟	しゅうじゅく	shuujuku
土蔵	どぞう	dozou
復権	ふっけん	fukkenn
誤用	ごよう	goyou
道沿い	みちぞい	michizoi
安否	あんぴ	annpi
群衆	ぐんしゅう	gunnshuu
合否	ごうひ	gouhi
聖職	せいしょく	seishoku
歯痛	しつう|はいた	shitsuu|haita
樹皮	じゅひ	juhi
敵意	てきい	tekii
存する	そんする	sonnsuru
若し	もし|わかし	moshi|wakashi
宝島	たからじま	takarajima
手探り	てさぐり	tesaguri
市域	しいき	shiiki
再訪	さいほう	saihou
従者	じゅうしゃ	juusha
大層	たいそう	taisou
片目	かため	katame
悲痛	ひつう	hitsuu
高座	こうざ	kouza
裏庭	うらにわ	uraniwa
調律	ちょうりつ	chouritsu
激増	げきぞう	gekizou
目論見	もくろみ	mokuromi
しきい値	しきいち	shikiichi
処する	しょする	shosuru
小腸	しょうちょう	shouchou
裁決	さいけつ	saiketsu
恩給	おんきゅう	onnkyuu
吸気	きゅうき	kyuuki
吸い物	すいもの	suimono
水郷	すいきょう|すいごう	suikyou|suigou
異種	いしゅ	ishu
血筋	ちすじ	chisuji
紅梅	こうばい	koubai
直訳	ちょくやく	chokuyaku
敬礼	けいれい	keirei
洗い場	あらいば	araiba
蔵人	くらびと|くろうど|くらうどの|くらんど	kurabito|kuroudo|kuraudono|kuranndo
取り巻き	とりまき	torimaki
一党	いっとう	ittou
誌面	しめん	shimenn
裁く	さばく	sabaku
未亡人	みぼうじん	miboujinn
裏付ける	うらづける	uradukeru
同窓	どうそう	dousou
誤算	ごさん	gosann
誌上	しじょう	shijou
若草	わかくさ	wakakusa
返納	へんのう	hennnou
聖歌	せいか	seika
動乱	どうらん	dourann
大脳	だいのう	dainou
射手	いて|いで|しゃしゅ	ite|ide|shashu
助詞	じょし	joshi
腸管	ちょうかん	choukann
表裏	ひょうり|おもてうら	hyouri|omoteura
律法	りっぽう	rippou
物干し	ものほし	monohoshi
探し物	さがしもの	sagashimono
初段	しょだん	shodann
回覧	かいらん	kairann
退化	たいか	taika
裏目	うらめ	urame
預入	あずけいれ	azukeire
表敬	ひょうけい	hyoukei
総論	そうろん	souronn
砂場	すなば	sunaba
骨子	こっし	kosshi
退出	たいしゅつ	taishutsu
善行	ぜんこう	zennkou
工賃	こうちん	kouchinn
翌週	よくしゅう	yokushuu
名将	めいしょう	meishou
腹ごしらえ	はらごしらえ	haragoshirae
痛み止め	いたみどめ	itamidome
財宝	ざいほう	zaihou
上皇	じょうこう	joukou
ポイ捨て	ぽいすて	poisute
夏至	げし	geshi
割引き	わりびき	waribiki
幼年	ようねん	younenn
前段	ぜんだん	zenndann
前奏	ぜんそう	zennsou
町域	ちょういき	chouiki
射す	さす	sasu
著作権	ちょさくけん	chosakukenn
誕生日	たんじょうび	tannjoubi
障害者	しょうがいしゃ	shougaisha
看護師	かんごし	kanngoshi
私達	わたしたち	watashitachi
専門店	せんもんてん	sennmonntenn
担当者	たんとうしゃ	tanntousha
専門家	せんもんか	sennmonnka
容疑者	ようぎしゃ	yougisha
遺伝子	いでんし	idennshi
従業員	じゅうぎょういん	juugyouinn
温暖化	おんだんか	onndannka
郵便局	ゆうびんきょく	yuubinnkyoku
裁判所	さいばんしょ|さいばんじょ	saibannsho|saibannjo
大規模	だいきぼ	daikibo
冷蔵庫	れいぞうこ	reizouko
子供達	こどもたち	kodomotachi
選手権	せんしゅけん	sennshukenn
経済的	けいざいてき	keizaiteki
私自身	わたしじしん	watashijishinn
補助金	ほじょきん	hojokinn
価値観	かちかん	kachikann
航空券	こうくうけん	koukuukenn
放射線	ほうしゃせん	houshasenn
展覧会	てんらんかい	tennrannkai
衆議院	しゅうぎいん	shuugiinn
展示会	てんじかい	tennjikai
映画館	えいがかん	eigakann
存在感	そんざいかん	sonnzaikann
検討中	けんとうちゅう	kenntouchuu
危険性	きけんせい	kikennsei
専門医	せんもんい	sennmonni
候補者	こうほしゃ	kouhosha
演奏会	えんそうかい	ennsoukai
警察官	けいさつかん	keisatsukann
著作物	ちょさくぶつ	chosakubutsu
小規模	しょうきぼ	shoukibo
時刻表	じこくひょう	jikokuhyou
同窓会	どうそうかい	dousoukai
難易度	なんいど	nannido
裁判官	さいばんかん	saibannkann
経済学	けいざいがく	keizaigaku
宅配便	たくはいびん	takuhaibinn
評論家	ひょうろんか	hyouronnka
住宅街	じゅうたくがい	juutakugai
警察署	けいさつしょ	keisatsusho
住宅地	じゅうたくち	juutakuchi
映画化	えいがか	eigaka
領収書	りょうしゅうしょ	ryoushuusho
専門的	せんもんてき	sennmonnteki
忘年会	ぼうねんかい	bounennkai
勤務地	きんむち	kinnmuchi
情報誌	じょうほうし	jouhoushi
看護婦	かんごふ	kanngofu
立候補	りっこうほ	rikkouho
裁判員	さいばんいん	saibanninn
論理的	ろんりてき	ronnriteki
時代劇	じだいげき	jidaigeki
筋肉痛	きんにくつう	kinnnikutsuu
映画祭	えいがさい	eigasai
最高裁	さいこうさい	saikousai
展示場	てんじじょう	tennjijou
将来的	しょうらいてき	shouraiteki
灰色	はいいろ	haiiro
所有権	しょゆうけん	shoyuukenn
翌営業日	よくえいぎょうび	yokueigyoubi
非常勤	ひじょうきん	hijoukinn
生態系	せいたいけい	seitaikei
写真展	しゃしんてん	shashinntenn
危機感	ききかん	kikikann
一覧表	いちらんひょう	ichirannhyou
退職金	たいしょくきん	taishokukinn
内視鏡	ないしきょう	naishikyou
経験値	けいけんち	keikennchi
呼吸器	こきゅうき	kokyuuki
指揮者	しきしゃ	shikisha
神経痛	しんけいつう	shinnkeitsuu
週刊誌	しゅうかんし	shuukannshi
電磁波	でんじは	dennjiha
加盟店	かめいてん	kameitenn
税務署	ぜいむしょ	zeimusho
有権者	ゆうけんしゃ	yuukennsha
障害児	しょうがいじ	shougaiji
外資系	がいしけい	gaishikei
従量制	じゅうりょうせい	juuryousei
最優先	さいゆうせん	saiyuusenn
会員権	かいいんけん	kaiinnkenn
参政権	さんせいけん	sannseikenn
従事者	じゅうじしゃ	juujisha
何枚	なんまい	nannmai
理論的	りろんてき	rironnteki
解決策	かいけつさく	kaiketsusaku
準優勝	じゅんゆうしょう	junnyuushou
温泉郷	おんせんきょう	onnsennkyou
乗車券	じょうしゃけん	joushakenn
訪問者	ほうもんしゃ	houmonnsha
特派員	とくはいん	tokuhainn
宗教的	しゅうきょうてき	shuukyouteki
神秘的	しんぴてき	shinnpiteki
接骨院	せっこついん	sekkotsuinn
予約権	よやくけん	yoyakukenn
財産権	ざいさんけん	zaisannkenn
座談会	ざだんかい	zadannkai
衆院選	しゅういんせん	shuuinnsenn
警備員	けいびいん	keibiinn
否定的	ひていてき	hiteiteki
作品展	さくひんてん	sakuhinntenn
貴金属	ききんぞく	kikinnzoku
勤務先	きんむさき	kinnmusaki
再認識	さいにんしき	saininnshiki
背番号	せばんごう	sebanngou
再就職	さいしゅうしょく	saishuushoku
負担金	ふたんきん	futannkinn
温泉街	おんせんがい	onnsenngai
一段落	いちだんらく	ichidannraku
消防署	しょうぼうしょ	shoubousho
子供服	こどもふく	kodomofuku
対処法	たいしょほう	taishohou
放射性	ほうしゃせい	houshasei
高収入	こうしゅうにゅう	koushuunyuu
批判的	ひはんてき	hihannteki
指揮官	しきかん	shikikann
小冊子	しょうさっし	shousasshi
協奏曲	きょうそうきょく	kyousoukyoku
商品券	しょうひんけん	shouhinnkenn
座布団	ざぶとん	zabutonn
専門職	せんもんしょく	sennmonnshoku
方法論	ほうほうろん	houhouronn
郵便物	ゆうびんぶつ	yuubinnbutsu
創業者	そうぎょうしゃ	sougyousha
代名詞	だいめいし	daimeishi
操作性	そうさせい	sousasei
裁判長	さいばんちょう	saibannchou
脳卒中	のうそっちゅう	nousocchuu
情報源	じょうほうげん	jouhougenn
収容所	しゅうようじょ	shuuyoujo
脳神経	のうしんけい	noushinnkei
展示室	てんじしつ	tennjishitsu
反対派	はんたいは	hanntaiha
放射能	ほうしゃのう	houshanou
重要視	じゅうようし	juuyoushi
入場券	にゅうじょうけん	nyuujoukenn
血糖値	けっとうち	kettouchi
宇宙船	うちゅうせん	uchuusenn
全盛期	ぜんせいき	zennseiki
洗面所	せんめんじょ	sennmennjo
整理券	せいりけん	seirikenn
異世界	いせかい	isekai
危険物	きけんぶつ	kikennbutsu
権力者	けんりょくしゃ	kennryokusha
純利益	じゅんりえき	junnrieki
上映会	じょうえいかい	joueikai
優先的	ゆうせんてき	yuusennteki
専門性	せんもんせい	sennmonnsei
博覧会	はくらんかい	hakurannkai
法律上	ほうりつじょう	houritsujou
乳製品	にゅうせいひん	nyuuseihinn
少数派	しょうすうは	shousuuha
諸外国	しょがいこく	shogaikoku
開幕戦	かいまくせん	kaimakusenn
時系列	じけいれつ	jikeiretsu
最盛期	さいせいき	saiseiki
平均値	へいきんち	heikinnchi
金銭的	きんせんてき	kinnsennteki
臨場感	りんじょうかん	rinnjoukann
感染者	かんせんしゃ	kannsennsha
特別展	とくべつてん	tokubetsutenn
深呼吸	しんこきゅう	shinnkokyuu
就職先	しゅうしょくさき	shuushokusaki
納税者	のうぜいしゃ	nouzeisha
異文化	いぶんか	ibunnka
諸事情	しょじじょう	shojijou
水蒸気	すいじょうき	suijouki
障害物	しょうがいぶつ	shougaibutsu
再検討	さいけんとう	saikenntou
天皇制	てんのうせい	tennnousei
純米酒	じゅんまいしゅ	junnmaishu
正統派	せいとうは	seitouha
染色体	せんしょくたい	sennshokutai
私生活	しせいかつ	shiseikatsu
主導権	しゅどうけん	shudoukenn
段階的	だんかいてき	dannkaiteki
選挙権	せんきょけん	sennkyokenn
未確認	みかくにん	mikakuninn
優勝者	ゆうしょうしゃ	yuushousha
議決権	ぎけつけん	giketsukenn
天守閣	てんしゅかく	tennshukaku
心臓病	しんぞうびょう	shinnzoubyou
基準値	きじゅんち	kijunnchi
疑問点	ぎもんてん	gimonntenn
意欲的	いよくてき	iyokuteki
死亡率	しぼうりつ	shibouritsu
将来性	しょうらいせい	shouraisei
可視化	かしか	kashika
割引券	わりびきけん	waribikikenn
対応策	たいおうさく	taiousaku
処分場	しょぶんじょう	shobunnjou
観覧車	かんらんしゃ	kannrannsha
演奏家	えんそうか	ennsouka
革新的	かくしんてき	kakushinnteki
合衆国	がっしゅうこく	gasshuukoku
大聖堂	だいせいどう	daiseidou
独創的	どくそうてき	dokusouteki
問題視	もんだいし	monndaishi
備忘録	びぼうろく	bibouroku
討論会	とうろんかい	touronnkai
純資産	じゅんしさん	junnshisann
月刊誌	げっかんし	gekkannshi
創造性	そうぞうせい	souzousei
従業者	じゅうぎょうしゃ	juugyousha
創造的	そうぞうてき	souzouteki
視覚的	しかくてき	shikakuteki
体系的	たいけいてき	taikeiteki
勤労者	きんろうしゃ	kinnrousha
法律案	ほうりつあん	houritsuann
優等生	ゆうとうせい	yuutousei
届出書	とどけでしょ	todokedesho
太陽系	たいようけい	taiyoukei
実力派	じつりょくは	jitsuryokuha
形容詞	けいようし	keiyoushi
親孝行	おやこうこう	oyakoukou
広葉樹	こうようじゅ	kouyouju
映像化	えいぞうか	eizouka
加盟国	かめいこく	kameikoku
伝染病	でんせんびょう	dennsennbyou
遊覧船	ゆうらんせん	yuurannsenn
反射的	はんしゃてき	hannshateki
探査機	たんさき	tannsaki
優位性	ゆういせい	yuuisei
創始者	そうししゃ	soushisha
進化論	しんかろん	shinnkaronn
定期券	ていきけん	teikikenn
生演奏	なまえんそう	namaennsou
預言者	よげんしゃ	yogennsha
小論文	しょうろんぶん	shouronnbunn
経済力	けいざいりょく	keizairyoku
果樹園	かじゅえん	kajuenn
深刻化	しんこくか	shinnkokuka
洗面台	せんめんだい	sennmenndai
危険度	きけんど	kikenndo
生理痛	せいりつう	seiritsuu
不純物	ふじゅんぶつ	fujunnbutsu
人形劇	にんぎょうげき	ninngyougeki
将軍家	しょうぐんけ	shougunnke
危機的	ききてき	kikiteki
物産展	ぶっさんてん	bussanntenn
著作者	ちょさくしゃ	chosakusha
街路樹	がいろじゅ	gairoju
再処理	さいしょり	saishori
退職後	たいしょくご	taishokugo
特許権	とっきょけん	tokkyokenn
宣教師	せんきょうし	sennkyoushi
看護士	かんごし	kanngoshi
雨模様	あめもよう	amemoyou
下腹部	かふくぶ	kafukubu
神経系	しんけいけい	shinnkeikei
借地権	しゃくちけん	shakuchikenn
高密度	こうみつど	koumitsudo
熱処理	ねつしょり	netsushori
来訪者	らいほうしゃ	raihousha
負傷者	ふしょうしゃ	fushousha
総裁選	そうさいせん	sousaisenn
退職者	たいしょくしゃ	taishokusha
独裁者	どくさいしゃ	dokusaisha
四重奏	しじゅうそう	shijuusou
誕生会	たんじょうかい	tannjoukai
創造力	そうぞうりょく	souzouryoku
貴重品	きちょうひん	kichouhinn
券売機	けんばいき	kennbaiki
多数派	たすうは	tasuuha
訪問着	ほうもんぎ	houmonngi
演奏者	えんそうしゃ	ennsousha
過激派	かげきは	kagekiha
延長線	えんちょうせん	ennchousenn
当日券	とうじつけん	toujitsukenn
自尊心	じそんしん	jisonnshinn
広報誌	こうほうし	kouhoushi
保存料	ほぞんりょう	hozonnryou
勤務医	きんむい	kinnmui
異次元	いじげん	ijigenn
展開中	てんかいちゅう	tennkaichuu
